Year,Region,Acc-ID,y,Budget y,Budget y+1,Slack,Realized_1yr_lag,Realized_2yr_lag,ds,y(t-1),y(t-2),y(t-3),yhat
2022,AI,50,15390.2,19235.0,15349.0,3844.7999999999993,15523.6,15986.8,2022-01-01,15523.6,15986.8,14488.9,99.41765
2022,AI,54,311.5,497.0,699.0,185.5,24.0,38.5,2022-01-01,24.0,38.5,5.0,4.262829
2022,AI,56,3425.8,4163.0,1930.0,737.1999999999998,532.6,1005.7,2022-01-01,532.6,1005.7,987.6,216.8742
2022,AI,63,1445.2,600.0,650.0,-845.2,1063.6,1376.0,2022-01-01,1063.6,1376.0,1198.4,1415.3793
2022,AI,64,43.4,0.0,0.0,0.0,41.8,37.5,2022-01-01,41.8,37.5,109.3,38.49314
2022,AI,66,654.5,750.0,1020.0,95.5,972.7,1169.0,2022-01-01,972.7,1169.0,1270.5,1204.1564
2022,AR,30,103788.1,100792.0,106851.2,-2996.100000000006,100102.7,97011.3,2022-01-01,100102.7,97011.3,94589.0,1399.4188
2022,AR,31,50874.8,51929.4,54571.5,1054.5999999999983,49558.2,44028.7,2022-01-01,49558.2,44028.7,48221.5,41782.445
2022,AR,34,1333.2,1543.6,1406.8,210.39999999999984,1599.8,7435.3,2022-01-01,1599.8,7435.3,1763.3,321.20877
2022,AR,35,793.7,67.3,285.3,-726.4000000000001,400.7,454.8,2022-01-01,400.7,454.8,0.0,16.970802
2022,AR,36,266396.3,270010.3,293579.2,3614.0,270457.8,265440.6,2022-01-01,270457.8,265440.6,257457.6,215367.73
2022,AR,37,40849.4,40113.7,40954.8,-735.7000000000044,40040.3,40156.7,2022-01-01,40040.3,40156.7,39630.9,20312.451
2022,AR,39,37175.8,36677.1,39399.5,-498.7000000000044,35451.0,36498.5,2022-01-01,35451.0,36498.5,36229.8,4507.6475
2022,AR,41,29611.8,28891.8,3460.5,-720.0,29422.8,3389.7,2022-01-01,29422.8,3389.7,3194.1,-334.85553
2022,AR,42,28238.5,26762.2,28425.3,-1476.2999999999993,27297.9,26344.9,2022-01-01,27297.9,26344.9,27030.6,3362.225
2022,AR,45,428.4,240.1,655.8,-188.3,444.2,1077.0,2022-01-01,444.2,1077.0,553.2,163.52782
2022,AR,46,180421.7,174240.8,197659.2,-6180.900000000023,186019.7,167643.4,2022-01-01,186019.7,167643.4,172668.7,109900.67
2022,AR,47,40849.4,40113.7,40954.8,-735.7000000000044,40040.3,40156.7,2022-01-01,40040.3,40156.7,39630.9,7335.9663
2022,AR,49,37175.8,36677.1,39399.5,-498.7000000000044,35451.0,36498.5,2022-01-01,35451.0,36498.5,36229.8,34324.523
2022,AR,50,19819.6,28379.0,30089.5,8559.400000000001,29937.7,13160.5,2022-01-01,29937.7,13160.5,13736.1,163.59435
2022,AR,52,2440.1,2793.0,3614.0,352.9000000000001,1119.3,1301.7,2022-01-01,1119.3,1301.7,1067.0,931.70776
2022,AR,54,3329.1,2493.3,28796.5,-835.7999999999997,3357.0,1346.6,2022-01-01,3357.0,1346.6,941.5,509.93817
2022,AR,55,135.9,290.0,232.0,154.1,368.1,362.0,2022-01-01,368.1,362.0,1.4,41.173286
2022,AR,56,5309.9,4246.0,6090.0,-1063.8999999999996,4244.3,4342.6,2022-01-01,4244.3,4342.6,5660.6,3768.6685
2022,AR,57,3978.1,3690.0,3886.0,-288.0999999999999,3753.6,3819.7,2022-01-01,3753.6,3819.7,3635.2,3331.5518
