Realized,Predicted,Budget y
24271.75351,30879.312507206785,23165.2
127744.3808,140856.36918202677,125632.0
1062674.01318,1018200.4556259323,1039106.30772
1544.60723,30280.94550024623,1839.0
1481953.08711,1595583.7650878779,1509817.1194000002
206563.55574,172442.59294922394,174104.39432
138014.89155,134431.15409609853,137791.259
1038337.79565,996441.1749634031,925929.455
127744.3808,141773.40392320446,125632.0
3059.47499,30280.94550024623,2227.797
19999.05636,30756.36337453359,17069.174
23984.71879,56193.71941857832,27584.49
89311.74441,75707.30108156225,113017.0
778.6465999999999,30280.94550024623,1450.0
2898.9149,30280.94550024623,3075.0
3377.58448,30280.94550024623,3250.0
898.802489999994,35375.77520659612,0.0
2564.25785,30280.94550024623,7373.0
13771.01762,30884.124780445418,2661.8
27290.828,30879.312507206785,27290.828
59977.55404,62892.75596295467,60568.80162
488433.6524800001,477656.75469937315,492326.60822000005
3976.68955,29688.932661232757,7930.0
296620.29856,358124.7326598229,203083.0
92033.50282,77097.26139680418,90905.0
35332.66324,30287.29966819331,39659.0
5282.89444,29688.932661232757,4339.0
69650.45543,56974.912939839625,45808.0
55000.0,60203.60050427595,0.0
16597.0012,29688.932661232757,27941.0
22411.2558,29688.932661232757,19025.0
739.48538,29688.932661232757,943.0
1376.025,29688.932661232757,1390.0
10000.0,29688.932661232757,10000.0
8059.888650000001,30164.350535520112,6900.0
6307.491,29688.932661232757,5750.0
449.2184,29688.932661232757,107.0
2352.703,29688.932661232757,1340.0
10000.0,29688.932661232757,10000.0
6307.491,29688.932661232757,5750.0
912465.57105,852206.0209461829,745520.0
303790.15665,290890.58642854344,313613.0
446529.19758,406990.23258005385,417126.0
769726.53012,730054.8244864808,642007.0
247253.04692,176560.4857886197,215500.0307
84409.5,95717.1581956317,84354.6
3941.172,30080.01856406935,4649.2
2326.327,30080.01856406935,1389.9
425678.4,385562.46066210885,423159.0
194299.5,184940.56326930298,183119.0
3521.4323,30080.01856406935,652.1
30979.8,33456.01630724693,45693.0
1204793.7,1209541.7462972128,1175108.0
295786.9,307564.6818107529,311930.0
180931.7,171363.57217248637,184059.0
978415.9,975206.2821589375,923550.0
142768.7,143771.4054829701,100797.0
160194.0,153790.5761757276,150710.0
7489.8,30401.559855003026,7115.0
23643.7,30481.77137064265,15785.0
560123.5,612021.7171619226,530750.0
295786.9,307564.6818107529,311930.0
180931.7,171363.57217248637,184059.0
9251.4,30080.01856406935,6983.0
96193.0,74044.7769447576,82342.0
26717.5,31043.98975629555,18611.0
234165.7421,218847.5144576515,239227.2
120485.9588,153366.55366846093,117535.6
21611.1886,31953.074686559852,35040.3
40134.0965,31043.98975629555,22251.2
951490.7608,1008566.1064496987,971637.0
124529.1744,128487.93605301336,122324.5
94279.1027,76832.32126024662,89844.0
792490.001,872662.5809054495,734300.0
81400.1158,73332.41076901623,80472.0
57209.420600000005,60340.60406954829,54424.6
9125.5713,30080.01856406935,8221.0
329.0,30080.01856406935,329.0
489074.186,612637.3561776341,508299.4
124529.1744,128487.93605301336,122324.5
94279.1027,76832.32126024662,89844.0
3740.3538,30080.01856406935,2630.8
55120.2819,60146.25978025398,46448.1
49957.1224,31450.557269762074,65221.8
6600.0365,30080.01856406935,2500.0
3377.58448,30280.94550024623,3250.0
512.76692,29688.932661232757,446.0
38178.3,30287.29966819331,37904.9
48650.5508,31340.325828816884,35084.0
1095.0,29688.932661232757,980.0
353631.3,303664.48370549676,260903.365
345304.3,327057.2402214155,358719.344
361648.9,328115.60318647185,330175.695
337286.60000000003,293605.0827020547,289447.014
59827.7,87978.63907089173,59204.7
29052.2,30287.29966819331,27969.2
2310.7,30963.62177676271,2809.6
976.9,30292.111941431955,330.4
165867.4,177048.73347408682,172426.7
38024.4,42911.7171679933,39339.6
23749.0,30287.29966819331,24945.9
125822.5,153135.77832426346,124605.0
14022.1,30010.473952166434,14166.2
4348.9,29688.932661232757,3771.7
402.0,29688.932661232757,370.7
92111.0,80126.86518399756,90411.7
38024.4,41931.7096319976,39339.6
23749.1,30287.29966819331,24945.9
217.2,29688.932661232757,349.8
18287.1,30164.350535520112,19114.0
17367.4,30164.350535520112,2476.6
31076.6,30419.20844816767,34226.8
8553.8,30010.473952166434,8284.0
1335.6,29688.932661232757,1357.0
22732.7,30164.350535520112,16778.0
2862.6,29688.932661232757,2536.1
9494.6,29688.932661232757,11795.0
3105.7,30080.01856406935,360.0
7846.0,30963.62177676271,8311.0
3523.1,30292.111941431955,194.5
248471.6,303682.56743016,251272.0
22428.7,31965.414823682433,22308.7
37176.1,30361.363747432075,35898.6
218506.0,178022.1184541717,205726.0
29272.1,30287.29966819331,29008.4
22311.7,30164.350535520112,19865.1
189.1,29688.932661232757,95.0
179.7,29688.932661232757,197.8
124118.0,129546.9839718783,111040.0
22428.7,30985.40728768672,22308.7
37176.1,30361.363747432075,35898.6
1970.8,29688.932661232757,2061.8
19048.0,30287.29966819331,21560.3
28000.0,31137.66727314651,0.0
19866.5,30287.29966819331,28440.1
1797.2,29688.932661232757,2297.0
13174.2,29688.932661232757,13880.9
10294.5,29688.932661232757,10815.0
1095.0,29688.932661232757,980.0
