Realized,Predicted,Budget y
24271.75351,94895.368752029,23165.2
127744.3808,182939.0120904949,125632.0
1062674.01318,1103838.3930630612,1039106.30772
1544.60723,91059.1798842123,1839.0
1481953.08711,1367720.0902339825,1509817.1194000002
206563.55574,201604.49988965626,174104.39432
138014.89155,165275.4553359596,137791.259
1038337.79565,786268.2190072994,925929.455
127744.3808,195263.14608460007,125632.0
3059.47499,91059.1798842123,2227.797
19999.05636,94895.368752029,17069.174
23984.71879,114662.88184554107,27584.49
89311.74441,143845.06493839188,113017.0
778.6465999999999,91059.1798842123,1450.0
2898.9149,91059.1798842123,3075.0
3377.58448,91059.1798842123,3250.0
898.802489999994,91059.1798842123,0.0
2564.25785,91059.1798842123,7373.0
13771.01762,91059.1798842123,2661.8
27290.828,94895.368752029,27290.828
59977.55404,133561.76021539912,60568.80162
488433.6524800001,420788.75325257506,492326.60822000005
3976.68955,91059.1798842123,7930.0
296620.29856,298115.82327355555,203083.0
92033.50282,153825.00436807433,90905.0
35332.66324,94895.368752029,39659.0
5282.89444,91059.1798842123,4339.0
69650.45543,119404.5807649974,45808.0
55000.0,115865.39148204311,0.0
16597.0012,91059.1798842123,27941.0
22411.2558,91059.1798842123,19025.0
739.48538,91059.1798842123,943.0
1376.025,91059.1798842123,1390.0
10000.0,91059.1798842123,10000.0
8059.888650000001,94895.368752029,6900.0
6307.491,91059.1798842123,5750.0
449.2184,91059.1798842123,107.0
2352.703,91059.1798842123,1340.0
10000.0,91059.1798842123,10000.0
6307.491,91059.1798842123,5750.0
912465.57105,676040.7890218603,745520.0
303790.15665,284900.6985220574,313613.0
446529.19758,374807.8208831747,417126.0
769726.53012,532504.7231884925,642007.0
247253.04692,205743.17135168795,215500.0307
84409.5,143151.54161883445,84354.6
3941.172,91059.1798842123,4649.2
2326.327,91059.1798842123,1389.9
425678.4,356746.5887154807,423159.0
194299.5,213803.140707655,183119.0
3521.4323,91059.1798842123,652.1
30979.8,98248.76303869193,45693.0
1204793.7,981193.4337262961,1175108.0
295786.9,309288.8051398685,311930.0
180931.7,197397.92369210662,184059.0
978415.9,786268.2190072994,923550.0
142768.7,165275.4553359596,100797.0
160194.0,185731.64705986605,150710.0
7489.8,91059.1798842123,7115.0
23643.7,91059.1798842123,15785.0
560123.5,515578.63573068404,530750.0
295786.9,308408.836709851,311930.0
180931.7,197397.92369210662,184059.0
9251.4,91059.1798842123,6983.0
96193.0,134942.7855209676,82342.0
26717.5,96097.87838853094,18611.0
234165.7421,333607.59445110365,239227.2
120485.9588,185734.6011843257,117535.6
21611.1886,94895.368752029,35040.3
40134.0965,96097.87838853094,22251.2
951490.7608,891773.8020760514,971637.0
124529.1744,166969.01085581066,122324.5
94279.1027,143432.93108144143,89844.0
792490.001,676040.7890218603,734300.0
81400.1158,141770.51631326598,80472.0
57209.420600000005,119404.5807649974,54424.6
9125.5713,91059.1798842123,8221.0
329.0,91059.1798842123,329.0
489074.186,515156.9510099017,508299.4
124529.1744,165275.4553359596,122324.5
94279.1027,143432.93108144143,89844.0
3740.3538,91059.1798842123,2630.8
55120.2819,117752.32799638408,46448.1
49957.1224,97912.92497413457,65221.8
6600.0365,91059.1798842123,2500.0
3377.58448,91059.1798842123,3250.0
512.76692,91059.1798842123,446.0
38178.3,96097.87838853094,37904.9
48650.5508,97912.92497413457,35084.0
1095.0,91059.1798842123,980.0
353631.3,285745.3421227106,260903.365
345304.3,309253.4803105042,358719.344
361648.9,311018.04005320516,330175.695
337286.60000000003,285745.3421227106,289447.014
59827.7,133561.76021539912,59204.7
29052.2,94895.368752029,27969.2
2310.7,91059.1798842123,2809.6
976.9,91059.1798842123,330.4
165867.4,212055.8412488137,172426.7
