Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
ZH,2019,1504.346,9.5609248777,905.7741865562,19.7330933176,63.2913571745,16.9755495079,99.3221639171,26.7446451814,5.5034312898,1.9911005359,11.4092266356,7.4029639259,671.443,2.197034,82.1882884356,3.1668862665,5.8590681914,0.3964017683,8.6480663993,26.2166953589,28.3181216359,29.2049363481,21.8601960841,18.3113142571,41.6542788559,-7.5815517286,30.3508112329,6.1347138271,83.75,2.7,93741.89985,-0.56308,1014.859,11.66,140.507,862.692,118225.0,3721.0,13210.0,101294.0,12.1210990112,21.3889015152,0.9934246107,29.2,44.0,6.817946242,3172.214,5385.778,495.4720159,46.43,40.59,3.286,258.4511808,4.2353852983,141.7393339032,5.29228085,15.73399596,41.87147509,42.39452894,21.72,15.3216,4.1839,21.392,30.6816,3.1175,8.1599,3.6228,0.24,6.8892,2.2369,59.719658138,8.6379487745,6.0975732693
BE,2019,1031.126,5.2382011876,176.5442308252,19.0533455659,60.3871883747,20.5594660594,74.6033947355,16.1746479092,4.8142555618,1.8953762054,9.8569282561,9.1998645049,467.025,2.164434,84.2960140374,10.6443673595,3.133523665,0.18832413525518152,3.7904575489,15.5987051268,50.2428176812,20.4969857715,6.9129442561,19.3141996583,42.578783099,-3.1678490606,31.3323488942,19.1759237507,84.16,1.9,76209.75576,1.01685,633.69,33.237,129.823,470.63,80138.0,11056.0,11734.0,57348.0,11.8956902523,18.2046289556,1.8313061412,40.3,45.0,4.2094069385,2713.065,5284.077,518.1259273,32.53,49.68,4.16,222.3782545,4.8365400465,159.1861712342,4.943856635,17.4813142,50.70625917,31.81242663,24.59,9.3306,1.8348,19.6774,33.1227,4.3075,5.9978,11.756,0.5208,8.5068,3.2853,49.2034684412,12.2239075394,2.5708393367
LU,2019,406.506,7.6523397156,284.4429827937,20.3854309653,62.2121198703,17.4024491643,63.7159107123,18.4484361854,4.9956599741,1.5656195865,10.8259878035,7.5984408009,174.242,2.288467,88.7822100906,1.7861116468,3.0829711166,0.17985602515984514,3.9650491774,60.1397439511,10.2612410806,18.0062009524,9.6338262081,31.7187070781,53.4494535519,-3.9628974627,29.9320957891,6.9846244509,84.21,1.8,66611.3622,3.43225,248.267,13.875,55.894,178.498,32094.0,4795.0,4592.0,22707.0,9.39693686,16.4925945447,1.4385767599,35.3,46.0,7.0518253996,1201.343,2105.343,537.2077631,25.52,57.87,2.547,171.4611838,3.8818413037,129.3486443005,5.381912453,19.86383084,48.15081455,31.98535462,25.76,18.4659,23.8516,13.5591,28.515,0.631,5.7691,1.3672,0.0,7.0727,0.0873,46.3935031743,5.8156109242,1.9087896043
UR,2019,36.299,2.4758624584,34.3304897195,20.2732857654,59.6600457313,20.0666685033,88.4817763575,12.0416540401,4.7208878582,1.2699464414,9.6626359671,9.9111037491,15.118,2.350708,93.4510401484,0.0,2.5716134225520078,0.0,2.1085768186034186,79.6442294952,4.63429177156486,9.404399098979727,1.855430642,23.5767326733,24.1763448853,-5.5186435755,20.0984855524,53.8697389204,84.92,0.8,52827.33054,0.32267,18.262,1.503,5.227,11.532,2781.0,600.0,413.0,1768.0,14.658558818,11.8380667838,1.4067340409,49.1,46.0,7.3944347149,148.819,250.894,548.3192696,10.65,67.26,1.303,96.42138902,1.6804870658,148.1583514697,4.931367691,28.3488738,49.00809639,22.64302981,22.93,0.0,26.8469,0.0,44.0845,0.0,0.0,0.0,0.0,26.2828,0.0,22.7140683359,1.549315258,2.8496334209
SZ,2019,157.301,7.2043890138,184.7752287651,19.5453302903,63.0072281804,17.4474415293,81.9854927814,21.0875963916,5.0772119401,1.858451163,9.6435094711,6.8143209309,66.978,2.307832,89.5374324048,1.851332185573109,3.2870437084,0.4477692471046864,5.7481551145,60.0124382826,10.2934372891,18.3229554573,6.0603724547,31.4695340502,40.5438146317,-3.5009564739,33.7367708115,19.6590421021,83.27,1.4,59924.92627,2.75562,81.109,4.434,20.65,56.025,15325.0,1668.0,2432.0,11225.0,11.4305030484,14.9355132827,1.4388489209,42.7,49.0,9.0984016146,288.64,534.499,641.935546,18.64,67.47,1.384,140.4949746,2.0431642571,149.2234632965,4.484571082,19.4545929,47.77574809,32.76965901,25.99,20.6033,19.4539,13.0872,42.6342,0.0,2.815,0.0,0.0,1.4064,0.0,25.9907739489,7.500176437,2.0723327538
OW,2019,37.575,5.592243923,78.1802671549,20.2847638057,61.4211576846,18.2940785096,27.2415169661,14.6879574185,4.6162261684,1.147385695,10.0596373728,7.4446653236,15.905,2.32713,91.4565335204,1.9773636392616913,1.072129490898658,0.0,4.345054034237623,69.2084542064,6.882591093117409,15.9839331824,3.8296918311,34.2142857143,36.857981412,-4.3278133432,40.6958258601,18.6165008968,85.47,0.7,66877.79528,3.52162,22.094,1.757,7.21,13.127,3680.0,666.0,542.0,2472.0,32.8702770247,12.458672,0.7024116132,49.1,48.0,7.2553673535,361.646,645.668,596.2865857,13.17,68.64,1.153,130.405855,1.4105123087,140.7850964737,4.415577342,18.64257382,52.56353753,28.79388864,25.49,0.0,0.0,0.0,34.529,0.0,0.0,0.0,0.0,0.0,0.0,33.2013483868,2.1938038418,1.5784686179
NW,2019,42.969,4.7411271451,178.0434242148,18.3108752822,61.9516395541,19.7374851637,50.6248690917,14.5616607322,5.4720841859,1.520023385,9.7749196141,7.8105817013,18.809,2.248817,92.0925007535,1.7432955585390582,2.102648080664164,0.0,5.112748993067924,66.2739403239,10.4666136943,15.012192783,5.370732768,27.7586206897,37.0261651084,-3.4486016629,33.311589476,24.2915126477,84.71,1.0,69047.92652,0.36989,23.489,1.257,6.755,15.477,4093.0,472.0,588.0,3033.0,19.0867645897,13.7118202765,1.9020490674,39.9,49.0,5.4219707685,142.677,240.658,626.3746593,16.91,68.11,0.916,123.3447369,1.6763279804,134.8181246945,4.590787971,17.04984424,50.45482866,32.4953271,28.13,0.0,0.0,0.0,82.8175,0.0,0.0,0.0,0.0,0.0,0.0,28.691606354,2.749318545,1.4804022934
GL,2019,40.349,4.5094280978,59.275745556,19.2346774393,61.0448833924,19.7204391683,76.254677935,24.0724677192,4.2735042735,1.4162194395,9.3917710197,9.3917710197,17.817,2.222484,86.5926734953,0.9064960002361485,7.161200814712046,0.0,4.230008560380199,32.3198630339,32.0364849308,19.3287481182,2.9105816787,17.1462125661,30.0424551012,-3.9298049099,30.8288227828,36.2181404374,85.91,1.7,67851.95378,0.96504,22.031,1.086,7.952,12.993,3327.0,392.0,616.0,2319.0,28.1391149867,18.6211891892,1.5999292849,50.4,50.0,6.8951733786,64.678,131.418,585.4733853,14.96,65.74,1.793,138.7890654,3.7459467521,156.0385635332,5.49864102,26.37586629,48.29460525,25.32952847,22.89,0.0,0.0,45.0033,0.0,0.0,0.0,51.4663,0.0,0.0,0.0,26.8015044711,5.7787630458,2.092310758
ZG,2019,125.421,10.8889969497,605.430585055,20.2270752107,63.057223272,16.7157015173,100.0,27.8988367179,5.0768138782,1.5318664309,10.0814455686,6.3760932594,53.689,2.296821,81.5383138083,3.4597657,3.7487996927,0.23724377760706744,11.3059343192,50.2919147302,13.703668139,23.2139427693,13.849440744,27.4971075974,43.4250764526,-6.0204914317,27.3511792552,15.3743035482,82.68,2.2,153895.3896,3.27815,110.588,1.849,22.306,86.433,17709.0,599.0,1651.0,15459.0,15.3946835734,19.0555023214,0.4419300478,33.8,47.0,7.3034535838,151.333,305.013,652.7253364,30.59,52.06,1.742,208.8964368,4.5770447876,133.5183103308,4.562639745,14.60758502,41.41626232,43.97615266,29.52,17.6401,26.4429,13.7528,30.4596,0.0,3.5805,0.0,0.0,7.1575,0.0,39.3552134766,4.219511408,3.4934004583
FR,2019,315.074,13.1353391288,197.7518075919,22.4677377378,62.0184464602,15.513815802,74.9395380133,22.5124891295,4.0670634845,1.8979629594,10.9348185292,6.5742885031,128.443,2.406935,27.782755021,68.7668468862,2.3312974245,0.11678068275657905,3.703198766,60.2152506193,11.5742976893,18.1136161792,8.374566972,34.6449874928,56.2532533191,-4.3107045091,26.9491495001,8.4230302088,82.15,2.7,59390.71573,2.39916,150.609,8.8,37.233,104.576,21696.0,2963.0,3406.0,15327.0,6.7311800907,26.590011338,1.5060770344,44.4,45.0,7.0870777107,278.956,446.457,589.079041,18.96,70.87,2.304,143.1409764,2.7616039057,126.7765667748,5.465138765,26.48708598,41.92411788,31.58879614,30.4,14.1814,22.673,24.1981,25.9348,2.4898,3.1944,1.2854,0.0,5.2855,0.7576,41.4344979706,9.7719243125,5.9567701354
