Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
ZH,2018,1487.969,8.3681944376,895.9135136437,19.6942947064,63.4089151051,16.8967901885,99.3188030127,26.5689674987,5.7494043616,2.1615269194,11.5428109937,7.2542820133,664.087,2.1956264767,82.2,3.4,5.8,0.3,8.3,26.8,29.2,27.6,21.8601960841,18.3113142571,41.6542788559,-7.5815517286,30.3508112329,6.1347138271,83.5,3.54,96612.78594,2.5,1005.751,11.778,142.905,851.068,117527.0,3808.0,13359.0,100360.0,11.4105925523,21.0431491555,0.9031876486,29.4,44.5,6.7702110713,2976.457,5067.168,499.1564513401,40.7,36.8,3.2,257.2634242,4.2119612438,144.6609438772,5.41388508,16.1,42.8,41.1,22.55,15.3216,4.1839,21.392,30.6816,3.1175,8.1599,3.6228,0.24,6.8892,2.2369,59.842173887,9.4815687687,6.7736207263
BE,2018,1026.513,4.7673917792,175.7544160627,19.0677565701,60.6265093574,20.3057340725,74.5547304321,16.0639952928,4.8747649213,2.0391429337,9.8953226914,9.2338732561,463.184,2.169967011,84.1,11.0,3.2,0.1,3.6,15.5,51.5,19.7,6.9129442561,19.3141996583,42.578783099,-3.1678490606,31.3323488942,19.1759237507,83.8,2.59,76897.225,0.6,628.477,33.872,131.603,463.002,79820.0,11269.0,11873.0,56678.0,11.1798598935,17.9675124485,1.8370993093,40.300000000000004,45.3,4.7293173449,2504.688,4913.765,518.2533762235,28.0,45.2,4.2,219.6757372,4.820388302,159.3745037812,5.043495336,18.2,51.2,30.6,23.96,9.3306,1.8348,19.6774,33.1227,4.3075,5.9978,11.756,0.5208,8.5068,3.2853,53.9006548512,13.594330323,2.4649060476
LU,2018,403.397,6.8290034692,282.2675333944,20.5065977189,62.342060055,17.1513422261,63.7634885733,18.3771817837,5.2832418511,1.5807339941,10.6338020268,7.090863532,172.115,2.2975801063,89.3,1.6,3.3,0.2,3.7,61.9,10.0,16.7,9.6338262081,31.7187070781,53.4494535519,-3.9628974627,29.9320957891,6.9846244509,84.3,1.9,66219.98282,2.1,245.102,13.948,55.912,175.242,31731.0,4835.0,4637.0,22259.0,8.3945411028,16.3829008598,1.1270491803,36.3,45.9,8.5038193208,1153.595,2021.658,534.3061776197,22.5,51.5,2.3,165.5936955,3.7995154029,130.9627984343,5.522832385,20.1,48.9,31.0,25.23,18.4659,23.8516,13.5591,28.515,0.631,5.7691,1.3672,0.0,7.0727,0.0873,47.0731915278,6.4299005422,2.2218767084
UR,2018,36.145,2.0411043984,34.1848412053,20.4094618896,59.9031677964,19.687370314,88.3856688339,11.8826947019,4.6035663773,1.1370254305,9.2071327547,9.6508499958,14.981,2.3614578466,93.3,0.7,2.9,0.0,2.7,78.9,4.4,9.7,1.855430642,23.5767326733,24.1763448853,-5.5186435755,20.0984855524,53.8697389204,82.2,1.01,53347.08857,2.2,18.374,1.528,5.366,11.48,2790.0,607.0,420.0,1763.0,14.1319775573,11.7261043478,1.9231763429,50.6,45.3,5.6431212298,142.683,243.926,543.824535068,10.6,58.1,1.3,94.06556924,1.798312353,151.4455664684,5.022851466,27.2,47.4,25.3,27.43,0.0,26.8469,0.0,44.0845,0.0,0.0,0.0,0.0,26.2828,0.0,18.6806771745,2.974453062,2.1960915131
SZ,2018,155.863,6.2243576637,183.086067355,19.812912622,63.0893797758,17.0977076022,81.9533821369,20.7015135087,5.207190698,1.677657474,10.059492315,7.3107150692,66.023,2.3206306893,89.7,2.1,2.9,0.3,6.5,59.8,11.1,19.1,6.0603724547,31.4695340502,40.5438146317,-3.5009564739,33.7367708115,19.6590421021,82.9,1.79,59866.91862,2.9,80.15,4.424,20.614,55.112,15184.0,1698.0,2461.0,11025.0,11.4799426034,14.9945539613,1.4475365796,43.3,48.7,7.1125878528,298.694,547.762,639.0751039956,17.8,58.9,1.4,146.282312,1.9313409225,150.9659123718,4.536301915,19.4,47.9,32.7,23.1,20.6033,19.4539,13.0872,42.6342,0.0,2.815,0.0,0.0,1.4064,0.0,27.2757360815,6.1261705593,2.9981894051
OW,2018,37.378,5.0386398764,77.7703799259,20.437155546,61.6030820269,17.9597624271,27.3770667237,14.677082776,4.1367824429,1.558008972,9.9390227523,6.6081070191,15.675,2.3461562998,91.0,1.2,2.2,0.0,3.8,71.6,7.8,13.5,3.8296918311,34.2142857143,36.857981412,-4.3278133432,40.6958258601,18.6165008968,84.3,0.89,66018.56327,1.9,21.873,1.728,7.154,12.991,3681.0,669.0,560.0,2452.0,32.7627362963,12.1240809969,0.6072016945,47.5,47.3,7.1205092243,338.971,613.672,594.508576977,15.4,57.4,1.1,120.3916742,2.1611292346,142.1424367275,4.343340611,22.7,50.3,27.0,21.79,0.0,0.0,0.0,34.529,0.0,0.0,0.0,0.0,0.0,0.0,42.857913475,3.3175099795,1.7531556802
NW,2018,42.556,3.734399376,176.3321455208,18.4768305292,62.0758529937,19.4473164771,50.6932042485,14.1813140333,5.2956128789,1.4356994916,9.3673507814,6.9666729429,18.542,2.2573616654,91.6,1.3,3.3,0.5,4.9,68.0,9.2,17.5,5.370732768,27.7586206897,37.0261651084,-3.4486016629,33.311589476,24.2915126477,83.4,1.12,70258.57101,1.0,23.59,1.279,6.881,15.43,4109.0,477.0,596.0,3036.0,17.7343944042,13.4206306306,1.5479732242,39.900000000000006,49.0,5.4455445545,132.622,215.012,623.0551626591,12.6,63.0,1.0,129.2414701,1.8044369182,134.3876304164,4.721575153,18.5,49.2,32.3,24.88,0.0,0.0,0.0,82.8175,0.0,0.0,0.0,0.0,0.0,0.0,26.5676567657,3.2531824611,0.9193776521
GL,2018,40.147,3.9862204724,58.9789922139,19.3613470496,61.2349615164,19.403691434,76.1501482053,23.6555657957,4.4652323043,1.9956345494,10.3274087933,9.2298097911,17.614,2.2360054502,87.4,0.9,5.8,0.0,3.5,31.6,32.0,21.3,2.9105816787,17.1462125661,30.0424551012,-3.9298049099,30.8288227828,36.2181404374,83.1,2.12,68115.78405,0.6,21.949,1.098,8.043,12.808,3291.0,395.0,603.0,2293.0,27.2903776465,18.4561290323,1.6817190906,50.4,49.3,4.3969221545,60.509,127.633,580.3687418807,16.9,55.1,1.8,151.9416146,3.536593185,160.6844845194,5.488906982,25.6,53.5,20.9,20.63,0.0,0.0,45.0033,0.0,0.0,0.0,51.4663,0.0,0.0,0.0,33.3766363546,6.1456980114,2.6731288098
ZG,2018,123.948,9.5866672561,598.320139023,20.2609158679,63.2329686643,16.5061154678,100.0,27.543001904,5.2909192871,1.8124039954,11.1913914874,6.0630196439,52.998,2.2985584362,82.5,3.1,4.2,0.2,10.5,51.3,14.1,22.3,13.849440744,27.4971075974,43.4250764526,-6.0204914317,27.3511792552,15.3743035482,81.6,2.42,152708.2308,2.8,109.004,1.882,21.656,85.466,17673.0,607.0,1652.0,15414.0,14.7832627885,18.6679789104,0.4330654102,34.5,47.1,6.8776917157,141.328,290.642,647.9522491689,27.4,45.8,1.7,205.7314358,4.6058888437,134.4838157937,4.797548491,14.6,41.4,44.0,29.36,17.6401,26.4429,13.7528,30.4596,0.0,3.5805,0.0,0.0,7.1575,0.0,44.2464833707,3.725416346,3.9464850083
FR,2018,311.914,12.0006606988,195.7684776059,22.7036939669,62.0693524497,15.2269535834,74.3448514655,22.3866193887,4.3979818365,2.0601412714,11.3049445005,6.5291624622,126.351,2.419173572,27.4,68.6,2.5,0.0,3.6,60.8,12.4,16.8,8.374566972,34.6449874928,56.2532533191,-4.3107045091,26.9491495001,8.4230302088,81.5,2.77,59406.74362,1.6,149.137,8.961,36.765,103.411,21476.0,3010.0,3376.0,15090.0,6.2684383027,26.3927974529,1.3420927851,44.3,44.4,8.5701926423,271.787,445.134,586.2824878602,17.0,63.1,2.4,138.4997147,2.6364279827,128.670082138,5.456552455,26.9,41.8,31.3,29.31,14.1814,22.673,24.1981,25.9348,2.4898,3.1944,1.2854,0.0,5.2855,0.7576,45.3488409912,8.9019420349,5.72755569
