Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
SO,2016,263.719,3.3041632065,333.6399175133,19.3380075004,61.8923930396,18.76959946,86.1428262658,20.8441560904,4.7833405693,2.026064636,9.2086922743,8.8849789396,115.937,2.24,89.60777999029315,2.4357828751309745,5.030776139306822,0.16057116160081283,2.6920617064995036,35.52750348130979,23.759542417548523,27.310251606845593,13.856801245,24.3896900193,42.310563407,-5.7817474853,42.7420069082,1.0906284398,82.7297,2.677336535,64472.7567,0.93715,136.464,4.413,39.484,92.567,17980.0,1578.0,3108.0,13294.0,11.1950014977,22.4401386429,2.3337473358,49.6,48.86,5.5998194594,199.264,379.806,575.1136985201,22.371555584,64.3964382873,3.59628,168.7747710163,2.9904268294,95.5641320854,6.42145831,21.8483990783,52.9166973558,25.2354296657,23.6,21.2244,14.7994,20.0285,28.8292,1.2026,3.4502,3.4206,0.0,5.5553,0.5052,62.4280419374,7.4396508528,2.7425345303
BS,2016,190.58,3.0440659638,5157.7807848444,16.6376324903,62.9688319866,20.3935355231,100.0,34.7916885298,5.1590487346,2.1320558546,10.5076135451,11.2551491781,96.405,1.92,79.2701222713975,4.859600430075263,5.689120596104318,0.23566624159227864,8.415847773360339,18.917685594979122,17.089240617107997,45.457330032755735,71.0654407788,1.3107170393,12.0335316387,-5.6722689076,12.4121146566,4.4889129259,77.9477,3.8494016327,165604.90525,0.4312,190.055,0.108,35.942,154.005,17051.0,21.0,1561.0,15469.0,21.9872192284,34.9483333333,0.3374841074,15.3,41.98,0.9559775002,615.868,1162.938,354.0180104048,49.9456852392,19.8015787458,5.93445,424.6295645054,11.6237545092,156.6429872976,6.37275968,22.2225343211,38.3469681542,39.4311997472,22.4,21.3624,6.447,33.3103,17.6484,2.3182,4.8028,1.1003,0.0,11.1801,0.459,113.4761137666,17.1811867853,5.3767132332
BL,2016,281.301,2.5134473258,543.3983039388,19.2939235907,59.727480528,20.9785958813,97.4845450247,21.3020927761,4.7432213545,1.9358629323,9.0506949641,8.4506488891,123.657,2.24,88.02273615524477,3.3195126510221074,5.08929633468708,0.09430916413193087,4.659807303437612,28.56165780217166,33.20532209553264,25.365766623052217,17.4315293391,17.4235523748,40.506818094,-5.6727698052,41.3315563797,0.7300961873,79.6979,2.769363475,67195.23571,0.96852,143.939,3.308,38.978,101.653,19097.0,1004.0,3127.0,14966.0,14.2015229707,22.775037037,0.3891509434,45.4,47.13,3.8649804777,153.641,309.473,515.3163757464,37.6901747461,46.9449838458,2.71733,235.0088528297,4.0501648628,92.7344108865,5.91752071,18.6002948489,52.9652749734,28.4339436284,29.4,15.7953,9.0945,22.1689,29.7852,2.1876,2.7408,2.8278,0.0,14.1943,0.4474,55.6097841066,2.7166111621,0.9079294901
SH,2016,79.417,4.0088532663,266.3748574495,18.9493433396,60.8232494302,20.2274072302,89.8686679174,25.0261279071,4.8672566372,2.1365360303,9.1656131479,9.7597977244,35.754,2.18,87.6004333303241,1.6144563810899464,4.095573410369836,0.0,3.925551442929794,23.121482952664678,37.07833047455689,22.479010562426648,11.4030090809,14.5069000337,43.8896893744,-3.8884812913,43.3569011158,1.3504004289,81.8096,3.3627279711,86464.18632,1.22399,45.438,1.88,13.7,29.858,6511.0,608.0,985.0,4918.0,4.7158515717,26.7031217839,1.3600039708,43.4,49.98,6.5877156239,78.226,140.353,555.767107117,32.8917158846,50.4458489702,2.44596,190.1284311257,3.6809971694,116.4972138659,6.39252642,20.651814751,51.7956209457,27.550825203,27.2,12.9019,0.0,28.8134,45.2923,0.0,0.0,0.0,0.0,3.4235,5.1271,49.0588071031,8.8090070193,7.9204904611
AR,2016,54.064,1.9748382594,222.6321858014,20.4590855283,60.9407369044,18.6001775673,76.6443474401,15.3540248594,5.4568233493,1.8375017401,9.967054893,8.8719780985,22.861,2.32,92.15332531515881,1.498953182769834,2.1738162056216312,0.0,2.9578154928950067,31.33324424250523,38.03732905697358,18.283665196668004,9.1840935287,21.912568306,54.7917009715,-2.8390016056,34.5010703112,1.5231351885,81.827,1.9331863196,56294.09424,3.39428,25.943,1.664,7.663,16.616,5078.0,751.0,845.0,3482.0,18.5886362478,16.1915967524,1.9591050209,49.5,49.31,6.4815332179,63.431,127.259,564.56389339,19.8218867671,64.2025731356,2.0851,159.0795582768,9.2612139092,94.2057328044,5.48697068,20.4061286599,52.2930003148,27.3008710253,33.9,33.5817,0.0,28.5521,36.0937,0.0,0.0,0.0,0.0,0.0,0.0,38.6656981617,6.0159058315,0.9312547727
AI,2016,15.854,1.0581336053,91.917903525,22.4549009714,59.4739497919,18.0711492368,0.0,10.6282326227,5.1846231664,1.7071320182,10.4957005564,8.2827516439,6.183,2.52,93.20320938126832,1.5661163400709766,0.0,0.0,0.0,76.40796173430027,11.471995062490356,6.395617960191329,4.716050815,39.5547945205,53.7212135275,-2.7296587927,31.9508092117,9.6119264458,84.3122,1.0801983309,59386.75816,2.25871,8.476,1.094,2.715,4.667,1849.0,510.0,298.0,1041.0,5.2689147146,14.9016632017,0.8304771948,52.2,45.64,3.5492457853,95.443,168.058,567.3089111421,6.2570560007,64.7871659134,0.79224,119.8511322778,2.788693117,37.8374952465,6.12903226,23.4111845166,54.80599237,21.7921280357,23.8,0.0,76.3081,18.0685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5912029408,1.3943465585,0.2535175561
SG,2016,495.824,3.5324186115,254.1383905689,20.8957210623,61.9020055504,17.2022733873,82.563772629,23.2590596663,5.3953173749,1.9402079749,10.2438120429,7.7061496289,211.187,2.31,89.34047052603754,1.2710370957793637,3.340969835815197,0.2956697114772716,2.6646987987194173,46.7133668164596,22.59156460187388,15.414476067397029,9.5571543238,24.196645756,46.4975649151,-4.3258853929,30.4988846375,13.4463961236,81.9739,2.4246539555,72331.09052,1.51393,289.289,11.575,88.489,189.225,37223.0,4338.0,6680.0,26205.0,11.0568602277,17.2053495915,1.7857360573,41.5,46.31,6.9676773799,466.171,1030.646,546.547786349,21.1967756053,60.9764312927,2.20733,185.97858624,4.4897274959,124.3382638565,6.48443676,22.7509832991,51.1555389866,26.0931887212,22.6,14.2935,16.5525,14.1798,35.7979,1.7509,4.8875,3.6347,0.0,5.746,1.2088,41.1674622076,7.9316817809,2.763886036
GR,2016,195.886,1.6950384434,27.5686097897,18.488304422,61.8711903862,19.6405051918,44.4758686175,18.0661200903,4.6463431795,1.8012255498,9.2261638245,8.7195691387,88.663,2.18,75.10049600125356,1.5416418063365216,12.729694383674747,14.895104473654078,2.4788009184761974,43.41487521620954,34.392232728850644,14.69320845914167,1.9511611541,22.8118355776,28.7618578466,-6.0242903064,27.6409570725,41.6460239268,82.1511,1.7764402333,70277.4671,1.16911,126.6,6.996,26.593,93.011,20267.0,2567.0,2960.0,14740.0,61.3404003173,22.8328986094,1.3571467677,44.7,45.28,11.694766592,1744.679,5052.225,552.2289301853,19.3056179606,50.5882993471,1.19769,176.0958778252,6.8061236978,132.920255028,5.75704067,23.4149840854,53.036307538,23.5487083766,25.8,13.2638,16.8097,17.6204,29.7324,0.0,7.8715,14.4785,0.0,0.0,0.0,42.0396083279,6.5449658646,1.1797352264
AG,2016,645.277,5.5294979606,462.5343167824,20.4406789642,62.9227448057,16.6365762301,85.1150746114,23.8553365454,5.1387325136,1.9334617626,10.4350757116,7.0378632361,275.436,2.31,88.05485642106213,1.9512901146037553,4.94204023631268,0.21127541554904353,3.7281464341634605,34.21045211811123,26.81318102957292,23.532585097564507,16.9899212935,23.4730848861,44.0592613697,-6.9038695986,36.3973075964,2.5535097404,82.2367,3.1149857278,62012.75277,1.57898,328.477,10.58,98.1,219.797,44102.0,3559.0,7348.0,33195.0,8.1756586016,17.6133659157,1.9813044444,49.1,49.17,6.768160261,319.322,686.425,583.3519286192,24.5326090251,62.3148467906,2.10462,161.3325667066,4.5232202426,119.527878786,5.3205214,19.5642369244,51.6435893805,28.7919558136,21.7,15.1447,8.5885,16.0765,37.9949,3.3365,5.1764,5.1263,0.0,5.4699,1.1261,50.549844271,5.0097271679,3.5592948668
TG,2016,263.733,6.1539018853,305.5471239066,20.7418108466,62.8340025708,16.4241865826,67.1812022007,23.8438117338,5.2212644391,1.9121735994,10.1677254867,7.4731255642,111.994,2.33,89.92801456257125,1.2015959989703233,3.8157797962710993,0.30844334939138746,2.5038612878314273,32.9183981171625,34.90512264185636,17.729286948847133,12.2742080261,26.5357031494,51.9389617856,-4.8343281651,21.3895976843,14.397232504,82.2987,2.5414413993,60247.47419,1.18254,130.956,8.743,40.608,81.605,20122.0,2836.0,3613.0,13673.0,10.7135861771,18.3552779837,1.6802085666,46.5,50.14,8.2296621305,209.181,437.017,612.9138843852,17.7342845006,65.9682236891,1.72085,158.1324444546,5.5301459977,103.4970300986,6.27031654,19.8474520382,53.4631414501,26.6899470785,23.4,13.0075,13.1289,12.6932,39.8656,2.3463,6.1675,3.761,0.0,5.4374,3.4295,44.3794711808,4.7910311283,2.8584820845
TI,2016,350.363,4.9767342915,127.8407805533,18.5207912936,59.9161441134,21.563064593,91.9817446477,27.6085088894,4.5142645594,2.0117606206,8.3455062548,8.3914237583,158.647,2.17,10.571115802109585,5.148806580432625,88.22438129405626,0.11970003376154797,3.109131646165336,68.67712706277943,4.646134643781566,17.152230478834237,5.6470797404,21.6282453856,12.9437283314,-16.134531214,50.693572762,30.7156191661,72.9455,3.8404966014,80388.58483,1.55696,217.947,3.334,51.651,162.962,34428.0,1222.0,5137.0,28069.0,15.7472495561,12.8216859389,1.0086468058,38.7,46.48,6.6139741847,1075.17,2313.039,631.4989077708,16.3520079716,70.2894748276,2.59076,214.04170674,5.4856740511,166.0390316819,6.9710848,26.2766163751,45.4466121088,28.2763836637,28.6,23.7298,20.0804,15.9328,11.3039,0.0,0.8482,0.0,0.5203,3.5281,21.6847,54.8307694083,8.8474890272,3.5897835453
VD,2016,761.446,6.7525982046,269.9091141107,22.1813496952,61.584800498,16.2338498068,89.6126580217,33.1372152457,4.633248589,1.9962682492,11.1025874046,6.9829675163,328.414,2.27,6.457387026107406,83.75964371225034,5.189622725167749,0.030380362133916636,7.514459410194007,31.247105654688596,25.5961940796064,27.905430038131463,9.3209970706,24.7780972622,42.4078749521,-5.1017493504,32.1370645132,16.1340634641,78.3846,4.9660468392,68234.35586,1.4927,421.99,13.177,73.364,335.449,57250.0,4000.0,8000.0,45250.0,5.2874517654,29.0376443291,0.6768791387,31.5,42.39,6.3546458172,1259.298,2655.696,530.5115076204,30.573546662,58.2603609841,4.92465,243.5765551654,4.7554897494,133.190013518,6.37984849,25.5968518885,39.3750276209,35.0285047815,26.3,26.8365,4.0533,22.2042,22.5585,1.0609,3.8918,1.8085,2.8771,11.2503,0.8272,96.0362863354,16.0320694767,7.4996030014
VS,2016,331.763,6.1016873265,63.6295114289,20.2159372805,61.3223897782,18.4616729412,75.1250139407,22.6902939749,4.7360703367,1.9824704679,9.7089441903,7.5928922514,139.929,2.32,26.20349164218939,67.34075677980744,3.794192360148665,0.0,2.6078868910856148,74.32110020917503,5.826756022512967,11.657923469143928,3.5337440691,34.6288464343,18.9872472855,-10.5499499554,23.9763664238,53.5026422216,79.1436,4.3430059534,52574.14176,0.60502,168.266,9.386,37.994,120.886,28102.0,3485.0,4263.0,20354.0,19.7352480031,11.5062643965,2.0354768849,57.4,43.32,8.1587469535,1515.54,3887.345,627.1195770173,13.5519449616,68.2406431765,1.72746,157.6279257612,3.961074918,109.0391454722,6.08100181,31.0941730505,45.7284863105,23.1764851813,26.1,18.1378,39.7915,13.2567,22.1426,1.4139,0.0,0.0,0.0,4.8868,0.0,42.3319093242,11.5011421634,1.7461186321
NE,2016,177.327,3.0461690444,247.3973520097,21.5742667501,60.0230083405,18.4027249093,89.7223773029,25.2369915467,4.3253451088,2.6460934783,10.1942447467,9.1934786235,79.746,2.18,5.484061474227795,87.5945942234003,6.176951284833335,0.0,3.2996387908420433,23.92426968452569,22.399774759308347,40.05507409594704,8.3526537531,18.4131471992,41.6947124374,-2.4582276266,38.4787973974,11.4738364121,78.9415,5.5258109604,82697.67418,1.04744,104.393,2.392,35.562,66.439,13382.0,906.0,2498.0,9978.0,6.3713502683,38.8409058323,1.2807860404,30.6,43.35,3.3446332808,133.401,241.118,539.6254010726,24.9572284687,60.9489144016,7.09062,205.2982747049,3.9032732339,112.1585923062,5.83845198,29.4013189226,41.6340433775,28.965444874,31.0,24.4252,3.5698,23.6589,20.3845,0.0,3.3845,0.9583,12.2215,9.3088,0.0,81.9831974694,10.2889989909,3.5260371198
GE,2016,477.385,4.2974339928,1942.1684296176,21.1336761733,62.3555411251,16.5107827016,100.0,40.9497575332,4.9365347934,2.4608742124,11.1573713216,6.6728769415,190.784,2.35,5.036818190737009,80.82847236042865,6.933929076980432,0.04597018104963378,10.619111822465403,35.44553234310573,9.446031287753712,37.46065204777535,33.3557665061,14.7890758352,39.533153868,-9.546191248,12.3937376027,14.7173420232,75.0206,5.55174604,102946.46655,1.09565,331.857,1.718,46.14,283.999,37740.0,414.0,4261.0,33065.0,6.5371899636,28.9238541667,0.4086468067,17.9,37.31,2.7288239216,1431.597,2939.168,467.8750748243,43.3529662457,39.3063401067,5.39012,371.0291397194,5.2267426449,147.6078588425,5.90440954,27.0341310062,32.1873715929,40.7788235141,27.3,20.5118,12.0521,19.9357,17.6318,0.5886,2.2692,1.0251,6.0605,11.4676,8.1087,117.6823955708,19.9687708363,19.83882684
JU,2016,72.41,3.3955905872,86.3555592658,21.9044330894,58.4491092391,19.6464576716,53.0244441376,13.9842563182,4.1207647695,2.2060659877,9.4486222494,9.1572550434,29.808,2.39,7.040852455699617,91.35236296808348,3.2439176543980035,0.0,1.3370201143126907,69.38847768542091,8.890425047630288,12.739626713425839,6.695603439,37.5888262681,48.7365998498,-1.5608816091,43.5160563313,1.0517403799,78.9193,4.1636535451,63009.22146,3.7526,41.752,3.114,15.768,22.87,6332.0,1104.0,1199.0,4029.0,11.5325204225,39.160259144,2.3477742233,54.8,44.39,6.1891884357,65.257,105.731,577.6297081045,13.6723549962,73.5383414023,2.58998,143.654345544,5.2589006384,119.1418773872,5.8892999,32.0673258659,47.0564828999,20.8781807692,32.8,16.7815,27.6328,23.7114,12.8474,6.6153,0.0,0.0,3.7786,7.2752,0.0,50.2383673925,3.7636956704,2.7321642644
