Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
ZH,2015,1425.538,3.8213693714,858.2614873326,19.5789940359,63.6669804663,16.7540254977,95.1557938126,25.3536559531,5.6278631092,2.2546736845,11.2881878739,7.6157866676,633.246,2.1915090269,83.8838251328881,3.208140248057789,5.817602562355186,0.31816478124574077,6.374795556767071,27.449400299850076,32.146057652991686,24.210082458770614,21.8585335099,18.3113142571,41.655628756,-7.5815517286,30.3524226527,6.1334150814,82.5472573393,3.2922683044,92553.268342364,1.2989233147,968.533,11.982,147.08,809.471,110562.0,3907.0,13447.0,93208.0,9.9228775767,19.8370496224,0.7614022076,29.0,44.3,5.4374101486,2717.778,4709.319,497.9635447172,38.79389108603348,37.90323523945555,3.18265,257.0959174712,4.4999213477,135.0066556626,6.7,16.89793637504014,45.208433785201,36.361942995404355,21.8,11.6448257808,5.030528911,19.2682401358,29.8435988277,3.2265779231,11.4851313646,5.2784501544,0.2386951747,8.392127615,2.4500335381,76.5099479971,13.7166995013,6.7472445557
BE,2015,1001.281,2.1921776032,171.4178837459,19.2363582251,61.07436374,19.6892780348,62.9728318025,14.5354800501,4.9420782808,2.1686164488,9.6163394517,9.5561558314,448.046,2.1844213412,85.1489998215571,10.617232793733182,2.902271973326978,0.10547250721855424,2.9753257780529605,15.575430448586289,55.49933473133565,16.209321905003705,6.913494891,19.3141996583,42.5801341484,-3.1678490606,31.3315668384,19.1748041221,82.5691977955,2.4181617708,67703.716644467,1.3668724612,621.412,34.894,133.034,453.484,80154.0,11818.0,12170.0,56166.0,10.3062869334,16.9027822222,1.3817514664,39.1,44.57,3.8977772897,2386.512,4919.632,508.5455921065,28.043492937461085,43.70653894335716,4.24188,217.9208433996,5.0905534189,150.6764441874,5.49,19.543823134723368,51.99833052092446,27.18860000082921,22.9,8.6538737308,2.0662449158,19.3210129931,29.002852222,4.1734758748,5.2885971913,14.8786369277,0.3425051771,9.4102171057,3.667207483,67.721991463,13.6910812529,3.0333955594
LU,2015,390.349,3.3735865046,273.1413257202,21.0111976718,62.3992888415,16.5895134866,50.7550935189,17.2461054082,5.0358628133,1.7284214566,10.4709884072,7.4159841634,164.652,2.3262638778,90.3803356068123,1.6939974521176533,2.778568991583224,0.2322104068786563,2.941019966758587,64.78569930606201,11.036337059167838,13.802385744379166,9.6322534853,31.7187070781,53.4524782044,-3.9628974627,29.933307442,6.9819608683,81.3639378453,1.9457345499,60905.281119043,1.3349998403,234.924,14.238,55.744,164.942,30413.0,4986.0,4591.0,20836.0,7.4197899752,15.973995448,0.8010150184,34.6,44.8,6.5840935345,1021.171,1829.244,518.338073259,22.50772181478115,49.90886116914701,2.14125,159.8569485256,3.9452332967,106.9591433944,5.96,21.682122968938554,49.758837400684186,27.315031792131492,23.6,18.3749611967,27.1255370274,11.4572298777,25.1040404283,0.7455175801,6.1178235372,2.1372808396,0.0,8.2685292221,0.2127045376,64.1418144332,6.2784589802,2.2404566905
UR,2015,35.865,1.2506351985,33.9200257249,20.814164227,60.2927645337,18.8930712394,0.0,11.0915934755,4.443947567,1.3136197211,9.0835406244,9.5307303167,14.708,2.3855724776,94.05561207188877,0.6563466598847068,2.7022558494404887,0.0,1.5750981349610038,81.61749745676501,4.699898270600204,8.053577483892845,1.8552582683,23.5767326733,24.1759568933,-5.5186435755,20.0975473802,53.8712374582,78.5705092454,1.0948499346,48732.916915304,3.6865562527,18.078,1.67,5.733,10.675,2744.0,645.0,406.0,1693.0,13.41447383,11.1351151316,0.7958724409,44.8,43.82,4.1184545989,128.135,227.539,525.4811867873,9.681535730137595,55.54260985352863,1.11506,97.5881778893,2.0452189505,99.1230773541,6.07,31.825582780667965,50.41896668122791,17.259044517691912,23.9,74.2680412371,0.0,21.4680412371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6760709383,3.7542375256,1.8491020648
SZ,2015,151.396,3.1799904587,177.7908260328,20.5474385056,63.3966551296,16.0559063648,80.3290707813,19.6081798727,5.225312556,1.8258716047,10.2381600526,7.2636492202,63.232,2.3527960526,89.60595593951099,2.0459517722766725,2.8192942948959394,0.49591617447889536,3.797792968593478,63.79554907319106,11.27317022350801,14.39699318016076,6.0588708168,31.4695340502,40.5521479149,-3.5009564739,33.7345417304,19.6544395379,81.5462726558,1.6076642848,54317.263848322,0.8149642468,76.119,4.559,20.465,51.095,14142.0,1749.0,2351.0,10042.0,11.3539486052,14.521327381,0.8665984306,41.2,47.35,9.0302342655,321.155,605.085,619.1416939198,16.227410091864623,56.5864406371528,1.50103,136.7275225237,1.707158524,91.4369618901,5.28,23.285575703305724,47.94231773748228,27.57909857473323,21.8,15.4751022922,20.5635942563,15.6553213033,37.9821566114,1.1061551218,0.0,3.4450715004,0.0,3.8304870962,0.0,36.5347393713,7.4150704131,2.6229727024
OW,2015,36.507,2.5909793452,75.9470760781,21.0206261813,62.4291231819,16.5502506369,0.0,13.9507491714,4.5165376883,1.2943736058,9.363553744,7.6836220429,14.932,2.4008170372,92.5552915983538,1.2924840231538797,1.8737654164017798,0.0,2.779975808880115,73.9953826078228,7.250644092749356,12.098905878810186,3.8303944552,34.2142857143,36.8627051269,-4.3278133432,40.7012536948,18.6056467231,84.3962063609,0.9489645003,58082.60227758,1.0584492655,21.656,1.842,7.204,12.61,3664.0,710.0,556.0,2398.0,30.4892276282,11.5982492582,0.6064789705,49.0,45.59,10.3004291845,325.92,604.97,583.9955697079,11.646280519727762,56.97015848841083,1.13249,115.0464294519,2.1043887581,74.2350823757,5.32,22.569335014182162,49.88181531673495,26.240939174283014,19.9,0.0,0.0,0.0,43.1020147106,0.0,0.0,0.0,0.0,0.0,0.0,38.0174442752,2.2982140385,0.8860584245
NW,2015,41.888,2.1060842434,173.4492753623,19.0412528648,62.9703017571,17.9884453782,87.4427043545,13.0777310924,5.1753881541,1.7251293847,9.3923710945,7.3557600153,17.904,2.3025580876,92.92175935116127,1.665821257408615,2.4021023452343817,0.0,2.645120778152738,68.82851714261407,10.710943481836486,13.935286277401243,5.3683981743,27.7586206897,37.0173150764,-3.4486016629,33.3043541259,24.3099326233,80.2702417397,1.0035693474,58967.965377355,2.2107868335,22.691,1.374,6.49,14.827,3992.0,500.0,574.0,2918.0,16.590072999,12.7942405063,1.2403474903,39.2,47.33,4.496921893,122.716,203.047,609.393035783,14.807624426403105,59.26138369219908,0.9066,124.140565317,1.8516737207,82.4355521354,5.25,22.029214370311884,50.911304118963024,26.26332412159495,21.4,35.202020202,0.0,0.0,45.2300785634,0.0,0.0,0.0,0.0,19.5679012346,0.0,30.227972297,5.1221623701,0.913813005
GL,2015,39.593,2.5512847078,58.1659786393,19.6979264011,61.9149849721,18.3870886268,0.0,22.2210996893,4.3565259239,1.7476760974,9.9288265242,8.6623945695,17.003,2.2623066518,87.2936695084346,0.7654643267428501,6.297236834149586,0.0,1.2295051393675556,34.826773081806635,35.479775077090515,15.031138521071407,2.910709075,17.1462125661,30.0320980449,-3.9298049099,30.8257951561,36.231397724,84.0392230813,2.2538550827,58570.874092819,2.6152358228,21.524,1.055,8.163,12.306,3302.0,401.0,619.0,2282.0,23.6333620817,17.796744186,1.5679361692,50.6,48.49,3.2004876934,60.68,127.089,564.5304681348,13.721500254358785,55.954307912870554,1.99649,146.4905412573,3.7566585489,117.5544209911,6.29,29.364149536691873,50.65147158021799,17.289736216139453,21.0,0.0,0.0,24.5584114996,0.0,0.0,0.0,61.7127542941,0.0,0.0,0.0,34.9259569712,9.72846656,2.6924737738
ZG,2015,118.118,4.4321648026,570.3428295509,20.4871399787,63.5593220339,15.9535379874,96.3350209113,25.8580402648,5.1215843677,1.9514855577,10.720387911,6.5106330398,46.352,2.3101807613,84.68876280242665,2.6550501762109984,4.420260647588338,0.20116760198017758,8.424022571543732,54.37633708492233,14.217798861087857,19.609545365289016,13.8488605898,27.4971075974,43.4190683646,-6.0204914317,27.341655496,15.3904155496,80.9123679616,2.2658745996,125138.2269132,-0.3054882541,104.281,1.863,19.645,82.773,17120.0,608.0,1637.0,14875.0,13.7163089981,18.3746655232,0.3880509591,34.7,46.47,8.3722925155,134.658,307.454,624.2333261849,26.811206000063027,46.221598966375694,1.66931,201.4934218324,4.2935261267,96.0754878833,5.05,15.074740009001966,43.99237201809869,39.71762253334281,27.2,19.2297176096,24.2913589597,5.2717442433,28.3119705469,0.0,6.7902265665,0.0,0.0,15.3631231774,0.0,53.5106154836,9.4702980914,3.1481878619
FR,2015,297.622,6.8687543313,186.7361856181,23.2711291504,62.1190637789,14.6098070707,55.8315581509,20.7723219386,4.4888347875,2.0950159333,10.7501141733,6.6721334019,119.763,2.4355268322,28.7690880305068,68.54454299382033,2.5246420728281778,0.0,2.5352820006469075,63.13775727345466,12.944536184266527,14.311554110416916,8.3760264298,34.6449874928,56.2776806876,-4.3107045091,26.9582964257,8.3879964569,80.2375413248,2.8812371275,50235.255207245,1.9444221751,142.574,8.83,36.269,97.475,20501.0,3068.0,3349.0,14084.0,5.2299830819,25.4497295325,0.7782044569,43.3,43.84,6.8601039826,290.091,473.397,577.7415535613,16.213411934202615,62.096449082365694,2.50725,130.0307100954,3.2586469385,108.0354844798,6.42,28.872187282326696,42.22735945244753,27.300901482954604,27.1,12.8109707112,20.2669465854,26.6884420056,21.4500687115,6.155133338,3.5419795313,1.8847405524,0.0,4.9535555721,0.7063824801,64.438305393,11.7538049726,7.8175672198
