Year,Canton,Einwohner in 1000,pro km²,Veränderung in %,Ausländer in %,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Landwirtschaftsflächen in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor.1,im 2. Sektor.1,im 3. Sektor.1,Neu gebaute Wohnungen pro 1000 Einwohner,Leerwohnungsziffer,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),FDP,CVP,SP,SVP,BDP,EVP/CSP,GLP,PdA/Sol.,GPS,Kleine Rechtsparteien
2013,BL,275.36,532.0,0.3,19.6,19.6,60.4,20.0,91.8,89.3,4.0,5.6,0.0,4.4,29.1,34.5,23.8,16.3,41.3,41.8,0.6,79.8,2.72,69563.07307929001,3.0334094275919035,127.883,3.464,39.872,84.547,12945,1058,2540,9347,4.6,0.44,510,34.915410207404264,40.632830749628376,2.3,217,4.5,136.4,18.8,52.5,27.4,11.5,8.2,24.4,26.9,6.4,3.3,5.0,0.0,13.6,0.7
2013,SH,77.139,258.7,1.0,23.6,19.3,61.0,19.6,75.9,89.0,0.0,0.0,0.0,0.0,23.2,40.2,20.6,10.6,45.0,43.1,1.3,81.0,2.53,76087.10629186124,7.665594978552055,39.926,1.973,13.775,24.178,4477,670,805,3002,4.8,1.07,543,26.68505516549649,44.8370110330993,2.3,195,4.0,141.3,22.9,50.2,25.7,12.3,5.2,34.6,39.9,0.0,0.0,0.0,0.0,0.0,3.8
2013,AR,53.313,219.5,0.6,14.5,21.3,60.8,17.9,53.0,92.7,0.0,0.0,0.0,0.0,31.0,41.8,0.0,8.4,56.1,34.1,1.4,81.7,1.52,48556.51337060449,4.599784031640161,22.949,1.852,7.678,13.419,3678,824,679,2175,2.3,1.67,535,18.867924528301888,50.40129540974373,1.8,156,8.9,275.7,24.3,51.5,22.9,51.5,10.6,0.0,30.5,0.0,0.0,0.0,0.0,6.4,0.0
2013,AI,15.743,91.3,0.4,10.1,23.8,59.2,17.0,0.0,93.8,0.0,0.0,0.0,0.0,74.0,0.0,0.0,4.2,55.7,31.8,8.4,81.3,1.21,49231.44362266918,7.9176680875583285,7.275,1.169,2.218,3.888,1424,553,238,633,3.0,0.86,543,0.0,47.850732168162494,0.9,102,2.9,118.1,26.6,54.5,18.2,0.0,76.1,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,SG,483.156,247.7,0.9,22.1,21.7,61.9,16.4,66.9,90.0,1.2,3.5,0.0,2.3,48.1,22.9,14.1,8.7,47.9,30.6,12.8,81.5,2.31,64189.70249352549,4.582682990251309,254.71,12.521,87.72,154.469,28079,4781,5622,17676,5.4,1.46,528,20.86496709574078,50.78912326070595,2.1,169,4.7,172.7,23.4,52.0,23.2,12.3,20.3,16.7,31.5,3.8,1.8,6.0,0.0,6.4,1.2
2013,GR,193.388,27.2,0.4,17.0,19.2,62.4,18.4,50.0,76.3,0.0,12.3,15.6,2.4,44.3,35.4,12.5,1.8,29.8,26.7,41.7,82.1,1.61,58027.15267642883,2.8410301039304886,103.007,7.843,24.887,70.277,14593,2916,2402,9275,7.8,0.98,531,17.195640541834464,41.52374515381077,1.1,170,6.6,198.7,23.7,53.5,21.5,11.9,16.7,15.6,24.5,20.4,0.0,8.2,0.0,2.2,0.5
2013,AG,618.298,443.2,1.1,22.3,20.9,63.2,15.9,65.9,89.4,2.3,5.1,0.0,3.6,35.7,29.0,20.7,15.4,45.3,36.9,2.4,81.6,2.69,64602.23219733459,1.158300059174969,285.337,11.711,95.844,177.782,31512,3927,6055,21530,6.0,1.61,569,21.292571655555324,53.96495554969275,1.9,155,4.7,163.5,20.4,52.7,25.5,11.5,10.6,18.0,34.8,6.1,3.2,5.7,0.0,7.3,1.6
2013,TG,251.973,292.0,1.4,22.1,21.7,62.6,15.7,50.0,91.0,1.3,4.1,0.0,2.2,32.9,37.3,15.7,11.2,53.2,21.5,14.1,81.7,2.18,55089.073913329164,5.234179224055467,115.146,9.087,40.56,65.499,14893,3076,3088,8729,7.6,1.43,592,15.681141829295935,56.02246221565774,1.6,142,5.7,160.4,23.1,53.3,22.5,11.3,14.4,12.1,38.7,5.0,2.9,5.2,0.0,7.0,3.5
2013,TI,336.943,122.9,1.0,26.2,18.8,60.4,20.8,87.9,11.1,5.3,87.7,0.0,2.9,69.1,4.5,15.9,5.1,14.3,48.8,31.7,72.5,4.36,65230.21306091311,2.3909242129854493,181.212,3.262,47.848,130.102,21553,1143,3564,16846,4.8,0.83,624,14.179734054662077,59.32683423276243,2.0,194,5.1,171.0,27.7,45.2,24.8,24.8,20.0,16.6,9.7,0.0,0.0,0.0,1.2,6.7,17.5
2013,VD,725.944,257.2,1.8,31.6,22.6,61.6,15.8,74.7,7.1,85.0,5.2,0.0,7.2,31.1,28.9,25.7,8.4,43.4,31.8,16.4,78.4,4.65,65564.32786492254,3.329097246528424,340.244,14.496,66.132,259.616,37200,4522,6089,26589,7.1,0.56,526,24.914967449597064,49.06191746250251,4.9,233,4.9,168.2,26.1,39.7,32.1,16.3,4.6,25.1,22.9,0.8,1.1,5.1,3.9,11.6,1.7
2013,VS,317.022,60.8,1.4,21.2,20.9,61.7,17.4,56.8,28.0,66.5,3.7,0.0,2.5,75.4,6.4,10.3,3.1,20.3,22.8,53.8,77.6,3.52,54762.774230678675,3.312440916876673,141.29,10.864,37.249,93.177,19841,4322,3273,12246,9.8,1.13,612,13.464269876668572,55.326259503717935,1.4,147,4.6,152.6,32.3,44.9,20.8,18.8,39.9,14.6,19.7,0.6,0.7,0.0,0.0,5.0,0.0
2013,NE,173.183,241.6,0.6,23.4,22.1,59.8,18.0,74.6,5.9,88.8,6.1,0.0,2.9,25.5,25.1,37.0,7.6,42.0,38.9,11.5,78.0,4.73,66182.61286361972,2.919729301217237,90.805,2.597,34.963,53.245,9358,1006,2047,6305,2.0,1.18,533,22.249290960657405,51.57685501660485,6.7,194,4.4,142.2,29.1,43.4,25.7,26.8,3.5,24.7,21.4,1.5,0.0,0.0,10.4,11.7,0.0
2013,GE,460.534,1873.5,0.6,39.4,21.6,62.3,16.1,99.2,5.8,80.8,7.3,0.0,10.6,36.7,11.7,35.1,30.2,41.5,13.8,14.5,75.0,4.97,104520.26990140091,4.117887345506093,277.098,1.813,43.956,231.329,24770,457,3436,20877,3.4,0.33,477,35.102749985021866,34.38579673676433,4.0,337,5.9,178.1,27.0,33.1,37.3,18.7,9.8,19.1,16.0,0.0,1.0,3.2,6.5,14.0,9.8
2013,JU,70.542,84.1,0.7,12.7,22.8,58.7,18.5,30.6,6.7,92.2,3.7,0.0,0.0,68.9,9.9,11.5,5.7,49.3,44.2,0.8,77.8,3.21,55783.624550702225,3.2140220664987686,36.867,3.265,15.498,18.104,4694,1176,988,2530,2.5,1.92,563,12.270883302241568,57.599715732433154,2.2,146,5.1,144.8,34.2,46.1,18.0,9.5,33.2,30.8,15.5,0.0,0.0,0.0,0.0,11.0,0.0
