Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
ZH,2017,1466.424,6.7990805991,882.9252138939,19.6164274453,63.4999154406,16.8836571142,96.5494972805,26.1215037397,5.8912831668,2.1470911961,11.5806971901,7.6600413763,655.098,2.1946487396,83.07002684447097,3.0162723082145395,5.8701987015606525,0.38856428816235905,7.913789399631687,27.118327213930918,29.623619854741403,26.952127633406526,21.8601960841,18.3113142571,41.6542788559,-7.5815517286,30.3508112329,6.1347138271,83.7754264513061,3.6634228035,96410.65099,2.82154,993.997,11.843,145.744,836.41,116299.0,3821.0,13486.0,98992.0,10.9327302563,20.4625034732,0.8521399861,28.5,44.39,5.7876564105,2917.409,5011.715,500.3595247083,40.374417215176095,37.3548836409563,3.2,256.5424461138,4.3577917916,136.8240416938,5.8435834968,16.281342278883987,43.80964423584716,39.90901348526885,22.73,15.3216,4.1839,21.392,30.6816,3.1175,8.1599,3.6228,0.24,6.8892,2.2369,63.9317898661,11.3222627379,6.4984091032
BE,2017,1017.483,3.8457770039,174.211625717,19.0775668979,60.7757574328,20.1466756693,73.1464800886,15.4760325234,4.9356135302,2.059301367,9.9383245654,9.5160049751,458.019,2.1788069927,84.72264801349843,10.336196990936301,3.1103955217418777,0.13748832811852782,3.4746518327486666,15.825667140172568,52.08841845128467,18.519385269207998,6.9129442561,19.3141996583,42.578783099,-3.1678490606,31.3323488942,19.1759237507,84.18102832802961,2.7181408958,76307.02387,1.58814,624.614,34.521,133.086,457.007,79167.0,11352.0,11882.0,55933.0,10.9296707163,17.5982306859,1.6887564991,39.8,45.03,4.2004402537,2548.602,4974.936,514.9759564422,28.077861467592246,45.500455517814686,4.2,217.4974913586,4.7213127586,151.7597268921,5.2975326132,18.201052532908392,51.738286219317864,30.060795157812983,24.0,9.3306,1.8348,19.6774,33.1227,4.3075,5.9978,11.756,0.5208,8.5068,3.2853,55.413119243,13.4810356067,2.645088556
LU,2017,398.762,5.6015465692,279.0223491051,20.6616979552,62.3682798261,16.9700222188,62.7146016922,17.870057829,5.3417968504,1.6537134185,10.5676320891,7.9080777346,169.665,2.3071523296,89.94288507318133,1.5444865841773852,3.1692297480365803,0.22815169096992793,3.6552949731019773,62.36539674206561,10.64938434755323,16.36178217881528,9.6338262081,31.7187070781,53.4494535519,-3.9628974627,29.9320957891,6.9846244509,83.93430758500864,2.062311945,65119.48638,2.1942,243.085,14.006,56.176,172.903,31281.0,4871.0,4589.0,21821.0,7.8682945343,16.3053436368,1.0498287122,34.8,45.6,7.0602426737,1162.027,2030.219,529.8020293763,22.670951422926148,51.99632735177759,2.2,166.2645889027,3.8133392061,110.9998884958,6.0692275474,20.184428752871803,49.58959149136788,30.22597975576032,24.43,18.4659,23.8516,13.5591,28.515,0.631,5.7691,1.3672,0.0,7.0727,0.0873,52.0091027967,7.4403705994,2.1540582457
UR,2017,35.973,1.5555304613,34.0212035522,20.5292858533,59.9783170711,19.4923970756,87.8603396992,11.4891724349,4.4456175935,1.3336852781,8.946805407,10.1971353552,14.881,2.366238828,93.57083124268273,1.1130636561297875,2.1166318113396887,0.0,1.887040006690082,78.88275631376484,5.19150359591905,9.757484529185483,1.855430642,23.5767326733,24.1763448853,-5.5186435755,20.0984855524,53.8697389204,84.0881837794995,1.0462271846,51331.87514,-0.86145,18.143,1.629,5.429,11.085,2804.0,619.0,429.0,1756.0,14.0696881669,11.5534246575,1.3932133622,47.0,44.82,7.6094201289,141.282,241.394,537.2694956676,10.984924623115578,58.02010050251256,1.1,86.1757429183,2.054338001,96.6451899578,5.8011712214,29.444703686420905,51.322134079950224,19.237050863275783,23.38,0.0,26.8469,0.0,44.0845,0.0,0.0,0.0,0.0,26.2828,0.0,17.7738280382,4.9711175294,3.6658520329
SZ,2017,154.093,5.018060383,180.9835333913,20.0080470884,63.1651015945,16.8268513171,80.3391458405,20.2293420207,5.5270944951,1.916233233,10.4741047802,7.5867193305,65.059,2.3280868135,89.6134797671733,1.7221735659533572,2.8057013090689256,0.46703788471822855,5.3393580989436,61.64792323849236,11.926555730373654,17.060524092603643,6.0603724547,31.4695340502,40.5438146317,-3.5009564739,33.7367708115,19.6590421021,83.12630756065845,1.7533994864,58788.11775,1.47115,79.281,4.471,20.575,54.235,14943.0,1699.0,2428.0,10816.0,11.3116546682,14.8936835675,0.9287802285,41.6,48.28,7.2532551274,328.39,591.169,630.9153634156,15.915659029431485,57.87691027211985,1.4,144.0688415437,1.7600469609,90.3449223941,4.6628528364,21.971195588932947,47.96498357486193,30.06382083620512,21.87,20.6033,19.4539,13.0872,42.6342,0.0,2.815,0.0,0.0,1.4064,0.0,26.983680176,3.2273057561,2.2257281077
OW,2017,37.076,4.189967683,77.1356052095,20.6467795879,61.8594238861,17.4937965261,27.1981875067,14.4567914554,4.6272493573,1.6777161413,9.7145176566,7.3061831958,15.471,2.359705255,91.75154395835354,1.2815940763733955,1.812148640346623,0.0,3.5179616516312606,72.78429850939308,7.495069033530572,12.565072590293271,3.8296918311,34.2142857143,36.857981412,-4.3278133432,40.6958258601,18.6165008968,83.23422667051219,1.0067300752,64252.80979,0.48307,21.697,1.749,7.225,12.723,3694.0,679.0,560.0,2455.0,31.6612358643,12.0203081664,0.6146753746,41.7,46.74,9.3120486507,379.875,663.433,591.0571754357,11.19737666972079,60.2015720692482,1.0,118.6751537383,2.1268318952,76.8311885758,4.7558057706,22.27614747930775,50.526711813393526,27.197140707298722,30.36,0.0,0.0,0.0,34.529,0.0,0.0,0.0,0.0,0.0,0.0,38.2255524787,4.018026823,1.194548515
NW,2017,42.42,3.4028861154,175.7686251761,18.6303630363,62.3833097595,18.9863272041,50.1296558227,13.9226779821,4.7573964497,1.7278106509,10.0828402367,7.1952662722,18.375,2.2760816327,92.12240485627963,2.1139673476175953,2.5488523435984143,0.0,4.293594256728664,66.4523103362253,11.359037613992294,15.605510436011864,5.370732768,27.7586206897,37.0261651084,-3.4486016629,33.311589476,24.2915126477,85.6020756850625,1.1491941896,69559.05378,1.4901,23.469,1.324,6.97,15.175,4077.0,479.0,585.0,3013.0,17.1072734695,13.3376666667,1.3939907695,40.1,48.42,6.4876425856,131.144,212.706,619.0351711027,13.599511102057445,62.305968629048685,0.9,122.5836869401,1.8298479087,84.1967680608,4.8748091603,19.614833678179213,49.03708419544803,31.348082126372752,27.27,0.0,0.0,0.0,82.8175,0.0,0.0,0.0,0.0,0.0,0.0,25.4990494297,3.897338403,1.2357414449
GL,2017,40.028,3.6779941981,58.7989893648,19.3914260018,61.5519136604,19.0566603378,74.3404616768,23.2512241431,4.6353135727,2.0044599233,10.247801358,8.8697351607,17.43,2.2480780264,86.83278259057485,1.4900811229198296,5.894436009645441,0.5133140722217261,2.3540141109225687,35.50951147628829,33.02968056920008,17.73391682295853,2.9105816787,17.1462125661,30.0424551012,-3.9298049099,30.8288227828,36.2181404374,84.07236228253218,2.3577311961,67378.92027,1.80648,21.778,1.09,8.322,12.366,3303.0,393.0,614.0,2296.0,25.3667841653,18.3832,1.6918319083,46.6,49.05,3.2668241443,60.456,128.012,578.3032617983,14.68244935124061,59.312542681538815,1.9,152.3933246727,3.6680686357,114.2634568025,6.3647085002,30.21085378499827,46.34289664707916,23.44624956792257,25.14,0.0,0.0,45.0033,0.0,0.0,0.0,51.4663,0.0,0.0,0.0,30.6327587073,7.0864954516,2.538071066
ZG,2017,122.134,7.9828477963,589.5067091418,20.2318764636,63.3992172532,16.3689062833,96.7118083417,27.0006713937,5.4577806402,1.8330216371,10.6926262163,6.0687878525,52.273,2.2976871425,82.58927253584186,3.460694500477236,3.8395308333415334,0.46330459425152765,10.083934387515129,50.54267074694717,14.67326596278548,21.750125458785558,13.849440744,27.4971075974,43.4250764526,-6.0204914317,27.3511792552,15.3743035482,82.06854198670781,2.3636654868,150612.94819,1.01084,107.592,1.905,22.096,83.591,17555.0,606.0,1639.0,15310.0,14.4167058602,18.5532286213,0.3446093256,34.9,46.98,11.4498413677,157.942,327.445,640.8330488221,27.982717520858163,46.351311084624555,1.7,200.5993417067,4.2635045674,97.8274446452,5.031839976,14.675534420493035,43.13496781139948,42.189497768107486,26.84,17.6401,26.4429,13.7528,30.4596,0.0,3.5805,0.0,0.0,7.1575,0.0,44.7667979582,5.0046215723,4.1635786791
FR,2017,307.461,10.4016977087,192.9372858595,22.8367175024,62.1558506607,15.0074318369,71.6936456982,21.8821248874,4.3317540821,1.9546917513,11.1027801152,6.7088164129,124.181,2.429526256,27.82062507746498,68.12040957487216,2.5216602095852676,0.1110527601524111,3.5292047994306577,61.66452763350966,12.008172306117634,16.455761995577998,8.374566972,34.6449874928,56.2532533191,-4.3107045091,26.9491495001,8.4230302088,80.80530742304131,2.8265087215,58369.34007,2.39022,147.804,9.06,37.162,101.582,21335.0,3036.0,3416.0,14883.0,5.5745273895,26.0066100687,1.2357534381,43.2,44.17,7.0374484552,281.938,451.868,581.8568975235,16.195029156150145,63.7419338795708,2.5,134.6512240577,2.7980647615,96.2169182239,6.4760897978,29.18314160355529,42.160129317454555,28.656729078990153,30.15,14.1814,22.673,24.1981,25.9348,2.4898,3.1944,1.2854,0.0,5.2855,0.7576,51.3849105239,10.1424959704,5.4783322401
