Canton,Year,Einwohner in 1000,Veränderung in %,pro km²,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Ausländer in %,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Veränderung in %,Landwirtschaftsflächen in %,Veränderung in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor,im 2. Sektor,im 3. Sektor,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Leerwohnungsziffer,Wohneigentumsquote,Durchschnittliche Wohnfläche pro Bewohner in m²,Neu gebaute Wohnungen pro 1000 Einwohner,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),Hochschulabschlussquote,FDP,CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
ZH,2020,1520.968,10.7714985711,915.7878891879,19.735983926,63.253073043,17.010943031,99.3285197322,26.8509265152,5.4718287094,2.0136752747,11.1849546857,7.3129599109,680.791,2.192661,81.89413479420618,3.3294311554052376,5.8281871859528005,0.322350345066309,8.821486176915291,26.1691910633,28.236303716,29.3655315095,21.8601960841,18.3113142571,41.6542788559,-7.5815517286,30.3508112329,6.1347138271,81.97268147704125,2.1275,95608.0,2.3845,1027.427,11.563,139.281,876.583,118647.0,3678.0,13233.0,101736.0,13.4392192913,21.8271687687,0.890223198,29.2,44.5152352718,5.4362691696,3298.643,5698.59,492.3800775,46.43,40.59,3.2041,261.4124689,4.0978193197,138.1080995787,5.229994602,14.921207564880355,42.4015800112439,42.67721242387573,22.15,13.660914879,4.40844631,17.309270298,26.700010093,3.301502195,13.994563849,1.640260327,0.310207478,14.07711271,1.797094255,60.339842031,8.813796826,6.3622331565
BE,2020,1034.977,5.6312397811,177.2054001764,19.0420656691,60.1377615155,20.8201728154,74.6805001464,16.335725335,4.7674293102,1.8517953848,9.8204203759,9.1486242457,469.733,2.160817,83.98981670533105,10.949706946378951,3.238422122361764,0.13974799010871605,4.039713458681641,15.4544358979,50.2516854349,20.8324159716,6.9129442561,19.3141996583,42.578783099,-3.1678490606,31.3323488942,19.1759237507,82.37108895653718,1.7846,76085.0,0.2188,637.457,33.007,130.188,474.262,80319.0,10936.0,11649.0,57734.0,12.5049709358,18.4568684013,1.8700737239,40.3,45.629930117,4.171403577,2860.6,5549.868,519.2449807,32.53,49.68,4.0158,224.9325347,4.8345035687,158.3184940342,4.854510337,16.74784897938697,51.02787941770671,32.22427160290634,24.27,8.360142453,1.872670843,16.822887211,30.030827962,4.176610747,9.735170906,8.041438968,0.617153166,13.585042099,2.817933211,48.5818415984,11.7483217376,2.5748550614
LU,2020,409.557,8.4603161993,286.5758428146,20.3544317397,62.0489944013,17.5965738591,63.7598673689,18.5285564647,4.9211886827,1.7229061972,10.8153414626,7.6954842947,176.401,2.277912,88.86755212584403,1.706908065593233,3.1401647250871854,0.19337928025524967,4.140387326556355,60.3496327076,10.0366550419,18.1194627885,9.6338262081,31.7187070781,53.4494535519,-3.9628974627,29.9320957891,6.9846244509,81.9598947195043,1.6218,66655.0,1.1455,250.821,13.624,57.132,180.065,32295.0,4752.0,4620.0,22923.0,10.0729904681,16.6024567858,1.5050495393,35.3,46.3546041744,6.777442569,1245.782,2174.803,532.3070262,25.52,57.87,2.4046,177.2647031,3.8450098155,127.1202787402,5.382340545,18.237171860006015,49.09019786198488,32.67263027800908,24.25,15.558173557,25.490116765,13.517649597,24.746008953,0.712169323,7.0978447,0.0,0.0,12.228227894,0.148821562,43.9255509144,7.4882043561,2.0885300586
UR,2020,36.433,2.8541584326,34.4578746264,20.1465704169,59.4268932012,20.4265363819,88.6229517196,12.3432053358,4.6746961448,1.0999285046,9.7893636914,8.9094208876,15.307,2.326909,93.01963125082902,0.6902226090993501,2.9683518371136755,0.18386632842552064,2.4265388645708983,78.6476986338,5.1333068046,10.0046425255,1.855430642,23.5767326733,24.1763448853,-5.5186435755,20.0984855524,53.8697389204,81.97030421511762,1.0617,52468.0,0.3683,18.45,1.499,5.316,11.635,2800.0,594.0,416.0,1790.0,15.4317662698,11.9948190053,1.8756859224,49.1,46.270265753,10.7068750865,152.178,255.421,551.4201493,10.65,67.26,1.2122,112.5353388,1.729201548,153.8165948453,4.63125,25.056493169762142,49.654614544550014,25.28889228568784,29.42,0.0,39.205020921,22.251046025,36.326359833,0.0,0.0,0.0,0.0,0.0,0.0,20.5239813769,1.0468607951,2.4794071462
SZ,2020,159.165,8.47474954,186.9582070618,19.4678478309,62.7945842365,17.7375679326,82.0331102943,21.5732101907,5.0937541474,1.7189840299,10.2886250024,7.2804029501,68.181,2.293748,89.53030004396804,2.0354170141152568,3.2293767151325863,0.34233045014175906,6.418575738738875,59.3515472202,10.6432979062,19.3557924102,6.0603724547,31.4695340502,40.5438146317,-3.5009564739,33.7367708115,19.6590421021,80.57963202427072,1.1083,60313.0,1.157,82.994,4.427,21.086,57.481,15351.0,1642.0,2420.0,11289.0,11.9127231734,15.1853262516,1.4372833321,42.7,49.4822294436,8.347074033,309.37,564.533,644.8528617,18.64,67.47,1.4367,146.3889674,2.104734081,153.2874689787,4.307350822,18.09740891837871,49.1974978431557,32.70509323846561,25.35,23.098084599,18.397850201,13.814815178,36.892794445,0.602669596,4.58401577,0.0,0.0,2.609770211,0.0,26.973763676,6.7831736607,2.3839645012
OW,2020,37.841,6.3397498946,78.7337189464,20.1870986496,61.0448983906,18.7680029598,27.3988530958,14.65341825,4.9326402885,1.1403415721,10.1835154344,6.8420494325,16.025,2.325866,91.23142656718322,1.3298744021427205,1.5713804923155412,0.1867966328678018,4.3619667113066765,69.6384159174,7.314584529,15.4518206747,3.8296918311,34.2142857143,36.857981412,-4.3278133432,40.6958258601,18.6165008968,84.26352511591814,0.722,66970.0,0.981,22.189,1.743,7.226,13.22,3654.0,651.0,534.0,2469.0,34.7975204545,12.698029316,0.8669850248,49.1,47.9146645908,5.1099577291,364.86,673.298,602.1024617,13.17,68.64,1.0725,124.2039058,1.3292098554,139.293359055,4.245325147,22.151049312481582,49.09542950801125,28.753521179507185,26.48,11.591707418,36.67607962,2.920311316,37.275294442,0.0,0.0,0.0,0.0,0.0,0.0,35.5821689953,2.3952095808,1.7032601464
NW,2020,43.223,5.3602769111,179.0884607417,18.2402887352,61.4302570391,20.3294542258,50.6073155496,14.6935659255,5.1744941526,1.8331167626,10.02413217,6.9844069055,19.022,2.236778,91.73369938229239,1.4325858613589566,2.6044030199039123,0.3794741249142073,5.183253260123542,65.7048730268,9.8339052848,17.3534660261,5.370732768,27.7586206897,37.0261651084,-3.4486016629,33.311589476,24.2915126477,81.38341390414793,0.8348,71329.0,3.38691018,23.666,1.239,6.795,15.632,4098.0,457.0,570.0,3071.0,19.6787473848,13.9126760563,1.4977010971,39.9,49.5336354458,6.9320424852,196.522,328.506,625.8465405,16.91,68.11,0.903,122.6199014,2.3043287139,137.0335238183,4.472652033,17.146254355866525,49.67279315616976,33.18095248796372,32.45,0.0,35.795983508,0.0,64.204016492,0.0,0.0,0.0,0.0,0.0,0.0,28.8812865089,3.002164351,1.3498103284
GL,2020,40.403,4.6492954828,59.3550756574,19.1223424003,60.8024156622,20.0752419375,76.5017449199,24.0873202485,4.507628294,1.6346344363,10.0802456905,8.9904893996,17.921,2.213493,86.94341852563156,0.9344312601565963,6.160437287634806,0.1738311715172108,3.7198995420298417,32.2085980204,31.4256167824,21.1552666568,2.9105816787,17.1462125661,30.0424551012,-3.9298049099,30.8288227828,36.2181404374,79.96940161977798,1.3715,68671.0,2.3942,22.043,1.091,8.014,12.938,3306.0,388.0,616.0,2302.0,31.0199718787,19.0953424658,1.7091401845,50.4,49.8339742309,6.775101502,68.078,135.265,586.30945,14.96,65.74,1.8811,138.603569,3.6441075341,158.2803257184,5.540251184,24.317238485672675,52.42655766329237,23.25620385103498,19.91,0.0,0.0,28.192747339,0.0,0.0,0.0,63.027197477,0.0,2.749310209,0.0,24.8333292027,4.4362933406,2.6022949763
ZG,2020,126.837,12.1409309933,612.2954380883,20.2850903128,62.7553474144,16.9595622728,100.0,28.3198120422,5.3992341175,1.8711002228,10.6478288102,6.4537100905,54.467,2.291608,81.59822568721016,3.3834839130893974,3.9826025174502893,0.2095487695985713,11.538793889758336,50.1176154311,13.7557247511,23.5115647173,13.849440744,27.4971075974,43.4250764526,-6.0204914317,27.3511792552,15.3743035482,80.5873000394071,1.9376,151747.0,-0.882,112.916,1.897,22.236,88.783,17955.0,592.0,1688.0,15675.0,16.1031229034,19.121643088,0.4150365708,33.8,47.251849136,5.0908445477,152.936,302.196,677.90083,30.59,52.06,1.668,208.929571,4.4703044064,131.2708436813,4.503292377,12.997195843437225,41.17156521293423,45.831238943628534,32.57,14.676798965,23.781401048,9.345428552,26.610899312,0.820341752,5.535604874,0.0,0.0,19.229525495,0.0,34.770891637,4.6403712297,2.4876216901
FR,2020,318.714,14.442373776,200.3646262267,22.3416605483,61.9307592387,15.727580213,74.852375484,22.7034268968,4.3831691354,1.8744438203,11.1898615941,6.4942851553,130.758,2.39167,27.417048779252553,68.7670197555778,2.3869537608059623,0.05645403156373326,3.647633109584825,59.7891595601,11.7851702657,18.3176397714,8.374566972,34.6449874928,56.2532533191,-4.3107045091,26.9491495001,8.4230302088,79.76490615398075,2.4628,59444.0,1.0967,153.309,8.769,37.791,106.749,21798.0,2938.0,3446.0,15414.0,7.3274824066,27.1660363143,1.8315623822,44.4,44.8453891656,7.0051360311,280.494,444.342,591.5150092,18.96,70.87,2.2582,145.2713091,2.7166968351,129.9378125843,5.202632479,25.40114678418065,43.001712861663655,31.597140354155705,29.83,15.420336853,17.801419498,21.225821533,20.181175819,3.99422386,5.380066349,0.652053895,0.0,12.463795507,0.734451756,40.8443730679,12.3463059472,6.0208078102
