Referenz-ID,HRM2-ID,HRM2-Bezeichnung,Rechnung 2021,Budget 2022,Anpassung Budget 2022,Budgetplus 2022,Rechnung 2022,Budget 2023,Source,Kanton,Year,Compte,Adaptation Budget**,Compte.1
HRM2_ER0432,432,Bestandesveränderungen,-3543.06914,1725.0,0.0,1725.0,369.8185900000001,835.0,HRM2_KT_alle,alle,2022,,,
HRM2_ER0439,439,Übriger Ertrag,262327.12354,161822.711,-3912.0,157910.711,167913.62674,125648.1685,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,644806.3655,670618.59205,6532.0,677150.59205,853106.7922,678311.311,HRM2_KT_alle,alle,2022,,,
HRM2_ER0450,450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,185635.3775,162399.659,0.0,162399.659,147414.79266,152365.023,HRM2_KT_alle,alle,2022,,,
HRM2_ER0451,451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,459172.28789,508218.93305,6532.0,514750.93305,705691.82357,525946.2880000001,HRM2_KT_alle,alle,2022,,,
HRM2_ER0046,46,Transferertrag,32826662.908989005,29313840.301719997,323653.90200000006,29637494.203719996,30778176.13324,31342415.88851,HRM2_KT_alle,alle,2022,,,
HRM2_ER0466,davon 466,Auflösung passivierter Investitionsbeiträge,118744.23689999999,102823.21399999999,0.0,102823.21399999999,107536.89957,98284.55900000001,HRM2_KT_alle,alle,2022,,,
HRM2_ER0047,47,Durchlaufende Beiträge,4945047.016779999,4529624.028,7032.448,4536656.476,4602200.45736,4684623.933999999,HRM2_KT_alle,alle,2022,,,
HRM2_ER0049,49,Interne Verrechnungen,3238634.7164499997,2919552.689690001,2502.544,2922055.233690001,3040179.99133,3028684.5232,HRM2_KT_alle,alle,2022,,,
HRM2_TOTBE,,Total Betrieblicher Ertrag (ohne SG 49),102499199.641959,94771894.22904,377372.3310000001,95149266.56004,103127105.61512,98917130.28416999,HRM2_KT_alle,alle,2022,,,
HRM2_ERGBT,,Ergebnis aus betrieblicher Tätigkeit,971520.5968689951,-2925951.543319997,-1894620.8264800003,-4820572.369799998,2460959.5420899964,-3603400.4000900006,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0034,34,Finanzaufwand,866844.6550299999,753195.2459999999,9786.478000000001,762981.7239999999,923369.1059399999,731227.85395,HRM2_KT_alle,alle,2022,,,
HRM2_ER0340,340,Zinsaufwand,543861.1984200001,549504.3899999999,8741.486,558245.8759999999,516918.9799400001,552721.0019500001,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER3401,3401,Verzinsung kurzfristige Finanzverbindlichkeiten,326303.73819,340207.55,53.986,340261.53599999996,317448.29591000004,351967.90194999997,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER3406,3406,Verzinsung langfristige Finanzverbindlichkeiten,99160.06797,89522.3,0.0,89522.3,87033.50656000001,84832.7,HRM2_KT_alle,alle,2022,,,
HRM2_ER0341,341,Realisierte Kursverluste,7338.181829999999,2102.8549999999996,71.0,2173.8549999999996,11398.551270000002,2054.745,HRM2_KT_alle,alle,2022,,,
HRM2_ER0342,342,Kapitalbeschaffungs- und Verwaltungskosten,16016.661409999999,21560.921,5.294,21566.215,16104.334869999999,21271.530000000002,HRM2_KT_alle,alle,2022,,,
HRM2_ER0343,343,Liegenschaftenaufwand FV,70365.01131000002,116136.26,-297.773,115838.487,90282.01121000001,121691.527,HRM2_KT_alle,alle,2022,,,
HRM2_ER0344,344,Wertberichtigungen Anlagen FV,171197.68385,1122.0,0.0,1122.0,244816.65217999995,943.8,HRM2_KT_alle,alle,2022,,,
HRM2_ER0349,349,Verschiedener Finanzaufwand,58062.60794,62768.82,-831.0,61937.82,43846.641319999995,32545.249999999996,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER0044,44,Finanzertrag,3351433.6077700006,2876268.0734900003,23.7,2876291.7734900005,3437994.0659199995,2991147.5420000004,HRM2_KT_alle,alle,2022,,,
HRM2_ER0440,440,Zinsertrag,294153.07623,297001.01,22.9,297023.91000000003,378795.29850000003,318568.67000000004,HRM2_KT_alle,alle,2022,,,
HRM2_ER0441,441,Realisierte Gewinne FV,92312.81618,35351.284,0.0,35351.284,108350.83244999999,41746.46,HRM2_KT_alle,alle,2022,,,
HRM2_ER0442,442,Beteiligungsertrag FV,109902.71763,169268.033,0.0,169268.033,126238.82001999998,115450.075,HRM2_KT_alle,alle,2022,,,
HRM2_neu_ER4420,4420,Dividenden auf Beteiligungen FV,108425.41763,167896.033,0.0,167896.033,125020.18691999998,114025.075,HRM2_KT_alle,alle,2022,,,
HRM2_ER0443,443,Liegenschaftenertrag FV,233153.89619,253203.2715,0.0,253203.2715,244917.48736000003,265448.56100000005,HRM2_KT_alle,alle,2022,,,
HRM2_ER0444,444,Wertberichtigungen Anlagen FV,411587.3126700001,55105.14,0.0,55105.14,256961.79307000004,47692.75,HRM2_KT_alle,alle,2022,,,
HRM2_ER0445,445,Finanzertrag aus Darlehen und Beteiligungen VV,185464.2398,187784.88748,0.0,187784.88748,199424.51909,221939.34700000004,HRM2_KT_alle,alle,2022,,,
HRM2_ER0446,446,Finanzertrag von öffentlichen Unternehmungen,1472010.9948200001,1369925.606,0.0,1369925.606,1612534.8500799998,1497648.076,HRM2_KT_alle,alle,2022,,,
