Year,Region,Acc-ID,Realized,Budget y,Budget y+1,Slack,Alter 0–19,Alter 20–64,Alter 65 und mehr,Geschlecht Mann,Geschlecht Frau,Staatsangehörigkeit Schweiz,Staatsangehörigkeit Ausländer,Zivilstand Ledig,Zivilstand Verheiratet ,Zivilstand Verwitwet,Zivilstand Geschieden ,Zivilstand Unverheiratet ,Zivilstand In eingetragene Partnerschaft ,Zivilstand Aufgelöste Partnerschaft ,Städtischer Kernraum,Einflussgebiet städtischer Kerne,Gebiete ausserhalb des Einflusses städtischer Kerne,Einwanderung,Auswanderung,Wanderungssaldo Ein-und Auswanderung,Zuzüge,Wegzüge,Wanderungssaldo Zu-und Wegzüge,Betreibungshandlungen Verwertungen,Betreibungshandlungen Pfändungsvollzüge,Betreibungshandlungen Zahlungsbefehle,Transferzahlungen von Kantonen an Bund,Transferzahlungen von Kantonen an andere Kantone,Transferzahlungen von Kantonen an Gemeinden,Transferzahlungen von Gemeinden an Kantone,Öffentliche Bildugnsausgaben,Kulturausgaben Kanton,Kulturausgaben Gemeinden,Kulturausgaben Kantone und Gemeinde,"BWS Landwirtschaft, Forstwirtschaft und Fischerei",BWS Bergbau und Gewinnung von Steinen und Erden,"BWS Versorgung, Sammlung, Entsorgung","BWS Transport, IT-Dienstleistung",BWS Finanzdienstleistungen und Versicherungen,BWS Wissenschaft und Kunst sowie sonstige Dienstleistungen,BWS Öffentliche Verwaltung,BWS Private Haushalte als Hersteller,BIP
2021.0,AG,45.0,54060.88924,49698.3403,44116.21005,-4362.548939999993,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,46.0,2202467.9044,1979176.58475,2047529.544,-223291.31965,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,47.0,282179.67156,303228.7,321373.1,21049.028440000024,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,49.0,424416.69746,259081.952,261461.444,-165334.74546,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,34.0,13314.42335,13652.0,12107.0,337.5766500000009,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,44.0,334059.85617,169915.1639,226330.47635,-164144.69226999997,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,38.0,214533.60106,38998.237,48018.927,-175535.36406000002,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,48.0,36566.71257,150679.722,91988.396,114113.00943,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,50.0,252304.80121,240417.0063,300905.91505,-11887.794909999997,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
2021.0,AG,51.0,0.0,0.0,0.0,0.0,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,9399,5808,3591,16949,13520,3429,75525.0,103788,171521,0.0,271803.721,53650.535,423793.682,2307327.99,68935177.05,60016367.05,128102137.9,299.46861,11767.76069,5407.25547,11742.81878,2067.3095,8517.79581,3747.17119,178.51239,44950.70226
