Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,0.0,0.0,AI,2022
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,AI,2022
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,0.0,0.0,AI,2022
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,0.0,167.0,AI,2022
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,AI,2022
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,1445.2,650.0,AI,2022
HRM2_IR0064,64,Rückzahlung von Darlehen,43.4,0.0,AI,2022
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,AI,2022
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,654.5,1020.0,AI,2022
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,0.0,0.0,AI,2022
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,AI,2022
HRM2_BI0010,10,Finanzvermögen,152061.5,0.0,AI,2022
HRM2_BI0014,14,Verwaltungsvermögen,92606.3,0.0,AI,2022
HRM2_BI0020,20,Fremdkapital,66121.6,0.0,AI,2022
HRM2_BI0029,29,Eigenkapital,178546.3,0.0,AI,2022
HRM2_ER0030,30,Personalaufwand,103788.1,106851.2,AR,2022
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,50874.8,54571.5,AR,2022
HRM2_neu_ER0033,33,Abschreibungen VV,16210.7,17342.7,AR,2022
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,793.7,285.3,AR,2022
HRM2_ER0036,36,Transferaufwand,266396.3,293579.2,AR,2022
HRM2_ER0037,37,Durchlaufende Beiträge,40849.4,40954.8,AR,2022
HRM2_ER0039,39,Interne Verrechungen,37175.8,39399.5,AR,2022
HRM2_neu_ER0040,40,Fiskalertrag,222642.0,222390.0,AR,2022
HRM2_ER0041,41,Regalien und Konzessionen,29611.8,3460.5,AR,2022
HRM2_ER0042,42,Entgelte,28238.5,28425.3,AR,2022
HRM2_neu_ER0043,43,Verschiedene Erträge,5763.3,3990.8,AR,2022
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,428.4,655.8,AR,2022
HRM2_ER0046,46,Transferertrag,180421.7,197659.2,AR,2022
HRM2_ER0047,47,Durchlaufende Beiträge,40849.4,40954.8,AR,2022
HRM2_ER0049,49,Interne Verrechnungen,37175.8,39399.5,AR,2022
HRM2_neu_ER0034,34,Finanzaufwand,1333.2,1406.8,AR,2022
