Ref-ID,Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
HRM2_ER0003,3,Aufwand,5803114.475219999,6652800.00609,6051832.87838,AG,2021,-849685.5308700008
HRM2_ER0004,4,Ertrag,5804641.22695,6647188.61623,6059241.5039,AG,2021,-842547.3892799998
HRM2_IR0005,5,Investitionsausgaben gesamt,337597.8063,321954.42864,361752.31505000003,AG,2021,15643.377659999998
HRM2_IR0006,6,Investitionseinnahmen gesamt,95027.774,86707.42383,90350.658,AG,2021,8320.350170000005
HRM2_BI0001,1,Aktiven,0.0,4409059.46376,0.0,AG,2021,0
HRM2_BI0002,2,Passiven,0.0,4409059.46376,0.0,AG,2021,0
HRM2_ER0003,3,Aufwand,168327.90000000002,184065.3,175146.9,AI,2021,-15737.399999999965
HRM2_ER0004,4,Ertrag,169726.5,187571.00000000003,176500.4,AI,2021,-17844.50000000003
HRM2_IR0005,5,Investitionsausgaben gesamt,32781.0,16415.5,24355.0,AI,2021,16365.5
HRM2_IR0006,6,Investitionseinnahmen gesamt,1601.0,2078.1,1367.0,AI,2021,-477.0999999999999
HRM2_BI0001,1,Aktiven,0.0,239476.80000000002,0.0,AI,2021,0
HRM2_BI0002,2,Passiven,0.0,239476.80000000002,0.0,AI,2021,0
HRM2_ER0003,3,Aufwand,503398.9,528194.3999999999,517455.29999999993,AR,2021,-24795.499999999884
HRM2_ER0004,4,Ertrag,504191.69999999995,568399.9,536891.8999999999,AR,2021,-64208.20000000007
HRM2_IR0005,5,Investitionsausgaben gesamt,38595.6,42780.0,41891.3,AR,2021,-4184.4000000000015
HRM2_IR0006,6,Investitionseinnahmen gesamt,8575.3,8126.9,11874.3,AR,2021,448.39999999999964
HRM2_BI0001,1,Aktiven,399175.0,397670.29999999993,366458.6,AR,2021,1504.7000000000698
HRM2_BI0002,2,Passiven,399175.4,397670.4,366458.6,AR,2021,1505.0
HRM2_ER0003,3,Aufwand,11920897.200000001,12169517.000000002,12090744.7,BE,2021,-248619.80000000075
HRM2_ER0004,4,Ertrag,11372170.9,12106321.0,12002566.199999997,BE,2021,-734150.0999999996
HRM2_IR0005,5,Investitionsausgaben gesamt,516265.60000000003,544437.7,508979.5,BE,2021,-28172.09999999992
HRM2_IR0006,6,Investitionseinnahmen gesamt,114960.7,132694.0,108172.8,BE,2021,-17733.300000000003
HRM2_BI0001,1,Aktiven,12731934.3,12675071.8,12774121.1,BE,2021,56862.5
HRM2_BI0002,2,Passiven,12731934.3,12675071.8,12774121.1,BE,2021,56862.5
HRM2_ER0003,3,Aufwand,2894380.8357800003,3141202.7749699997,2991757.1482,BL,2021,-246821.93918999936
HRM2_ER0004,4,Ertrag,2894746.3178300005,3224631.3648699997,2994232.2252800004,BL,2021,-329885.04703999916
HRM2_IR0005,5,Investitionsausgaben gesamt,232494.161,148357.79200000002,199511.8,BL,2021,84136.36899999998
HRM2_IR0006,6,Investitionseinnahmen gesamt,28192.0,20134.185,31690.0,BL,2021,8057.814999999999
HRM2_BI0001,1,Aktiven,0.0,5320006.658,0.0,BL,2021,0
HRM2_BI0002,2,Passiven,0.0,5320006.658,0.0,BL,2021,0
HRM2_ER0003,3,Aufwand,4490842.749000001,4775499.408859999,4605560.551,BS,2021,-284656.65985999815
HRM2_ER0004,4,Ertrag,4625580.152,4990664.833079,4666934.6729999995,BS,2021,-365084.68107900023
HRM2_IR0005,5,Investitionsausgaben gesamt,452075.103,325230.03612,431047.151,BS,2021,126845.06688
HRM2_IR0006,6,Investitionseinnahmen gesamt,21964.383,51733.2986,21632.427,BS,2021,-29768.9156
HRM2_BI0001,1,Aktiven,0.0,13417778.855050001,0.0,BS,2021,0
HRM2_BI0002,2,Passiven,0.0,13417778.85505,0.0,BS,2021,0
HRM2_ER0003,3,Charges,3785753.0,4071570.0,3899875.0,FR,2021,-285817.0
HRM2_ER0004,4,Revenus,3786034.0,4072260.0,3900135.0,FR,2021,-286226.0
HRM2_IR0005,5,Dépenses d'investissements total,209148.0,133404.0,238428.0,FR,2021,75744.0
HRM2_IR0006,6,Recettes d'investissements total,45322.0,33647.0,52799.0,FR,2021,11675.0
HRM2_BI0001,1,Actif,0.0,3386782.0,0.0,FR,2021,0
HRM2_BI0002,2,Passif,0.0,3386782.0,0.0,FR,2021,0
HRM2_ER0003,3,Charges,9426114.7,10123589.950000001,9368964.409999998,GE,2021,-697475.2500000019
HRM2_ER0004,4,Revenus,8579208.2,10172694.33,9275846.459999999,GE,2021,-1593486.1300000008
HRM2_IR0005,5,Dépenses d'investissements total,804017.659,600603.1070000001,801335.258,GE,2021,203414.5519999999
HRM2_IR0006,6,Recettes d'investissements total,59909.172999999995,34063.79906,45796.878,GE,2021,25845.373939999998
HRM2_BI0001,1,Actif,0.0,19937861.254780002,0.0,GE,2021,0
HRM2_BI0002,2,Passif,0.0,19937861.254770003,0.0,GE,2021,0
HRM2_ER0003,3,Aufwand,393824.29999999993,446530.00000000006,397648.1,GL,2021,-52705.70000000013
HRM2_ER0004,4,Ertrag,382596.1,450050.9,389491.2,GL,2021,-67454.80000000005
HRM2_IR0005,5,Investitionsausgaben gesamt,95167.0,79556.3,52881.0,GL,2021,15610.699999999997
HRM2_IR0006,6,Investitionseinnahmen gesamt,11746.0,14531.0,18401.0,GL,2021,-2785.0
HRM2_BI0001,1,Aktiven,0.0,606789.0,0.0,GL,2021,0
HRM2_BI0002,2,Passiven,0.0,606789.1,0.0,GL,2021,0
HRM2_ER0003,3,Aufwand,2599371.0,2780269.09,2684583.0,GR,2021,-180898.08999999985
HRM2_ER0004,4,Ertrag,2565161.0,2914570.0,2675621.0,GR,2021,-349409.0
HRM2_IR0005,5,Investitionsausgaben gesamt,404942.0,322736.0,420427.0,GR,2021,82206.0
HRM2_IR0006,6,Investitionseinnahmen gesamt,133309.0,133339.0,139714.0,GR,2021,-30.0
HRM2_BI0001,1,Aktiven,0.0,4528900.0,0.0,GR,2021,0
HRM2_BI0002,2,Passiven,0.0,4528900.0,0.0,GR,2021,0
HRM2_ER0003,3,Charges,977051.6,991163.56655,981277.0,JU,2021,-14111.966550000012
HRM2_ER0004,4,Revenus,972373.5,990153.9047,960762.7,JU,2021,-17780.404699999955
HRM2_IR0005,5,Dépenses d'investissements total,54417.0,54118.81987000001,57427.4,JU,2021,298.18012999999337
HRM2_IR0006,6,Recettes d'investissements total,21660.9,18139.526550000002,20997.7,JU,2021,3521.373449999999
HRM2_BI0001,1,Actif,0.0,797226.498,0.0,JU,2021,0
HRM2_BI0002,2,Passif,0.0,797226.4990000001,0.0,JU,2021,0
HRM2_ER0003,3,Aufwand,3892477.6515,4248956.677,3877874.6869999995,LU,2021,-356479.0255
HRM2_ER0004,4,Ertrag,3842643.21899,4450365.749,3895327.3019999997,LU,2021,-607722.5300099999
HRM2_IR0005,5,Investitionsausgaben gesamt,237264.9,178840.64766000002,276928.54,LU,2021,58424.25233999998
HRM2_IR0006,6,Investitionseinnahmen gesamt,51408.979,27249.185429999998,50589.363,LU,2021,24159.79357
HRM2_BI0001,1,Aktiven,7117462.20617,7474186.419,7262473.2575,LU,2021,-356724.2128299996
HRM2_BI0002,2,Passiven,7117462.20617,7474186.419,7262473.2575,LU,2021,-356724.2128299996
