Ref-ID,Acc-ID,Name,Realized,Budget y+1,Region,Year
HRM2_BI0001,1,Aktiven,698935.5999999999,652547.2,NW,2022
HRM2_BI0002,2,Passiven,698935.5,652547.1000000001,NW,2022
HRM2_ER0003,3,Aufwand,337392.9,350541.8,OW,2022
HRM2_ER0004,4,Ertrag,339499.8,351058.69999999995,OW,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,54366.899999999994,86128.6,OW,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,38825.8,55851.2,OW,2022
HRM2_BI0001,1,Aktiven,268692.0,0.0,OW,2022
HRM2_BI0002,2,Passiven,268691.9,0.0,OW,2022
HRM2_ER0003,3,Aufwand,5763068.8,5618544.9,SG,2022
HRM2_ER0004,4,Ertrag,5963777.3,5573987.700000001,SG,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,146619.5,466602.4,SG,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,62631.8,51583.0,SG,2022
HRM2_BI0001,1,Aktiven,3862713.0,0.0,SG,2022
HRM2_BI0002,2,Passiven,3862713.1,0.0,SG,2022
HRM2_ER0003,3,Aufwand,978271.69054,962881.4,SH,2022
HRM2_ER0004,4,Ertrag,985710.1648300001,952476.7000000001,SH,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,48894.14583,63630.6,SH,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,19109.4124,13888.5,SH,2022
HRM2_BI0001,1,Aktiven,1216255.7277,1062234.6570000001,SH,2022
HRM2_BI0002,2,Passiven,1216255.7277000002,1062234.6570000001,SH,2022
HRM2_ER0003,3,Aufwand,2470695.32048,2528833.80739,SO,2022
HRM2_ER0004,4,Ertrag,2618863.0193,2438334.6496800003,SO,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,96366.89039,114135.0,SO,2022
HRM2_IR0006,6,Investitionseinnahmen gesamt,9900.119809999995,12873.092,SO,2022
HRM2_BI0001,1,Aktiven,3071170.0066799996,0.0,SO,2022
HRM2_BI0002,2,Passiven,3071170.00652,0.0,SO,2022
HRM2_ER0003,3,Aufwand,1590436.3776999996,1749651.1,SZ,2022
HRM2_ER0004,4,Ertrag,1703556.8536999999,1751609.8500000003,SZ,2022
HRM2_IR0005,5,Investitionsausgaben gesamt,56557.1589,79684.7,SZ,2022
