Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
3,Aufwand,15526205.832,15399259.221830001,15602607.67865,ZH,2018,126946.6101699993
4,Ertrag,15655883.21792,15947665.542970002,15751028.785920002,ZH,2018,-291782.32505000196
5,Investitionsausgaben gesamt,1165275.25,1109624.41941,1373479.26,ZH,2018,55650.83058999991
6,Investitionseinnahmen gesamt,108146.0,120779.74507999998,88022.016,ZH,2018,-12633.745079999979
1,Aktiven,0.0,21820308.396250002,0.0,ZH,2018,0.0
2,Passiven,0.0,21820308.396250002,0.0,ZH,2018,0.0
3,Aufwand,11171426.887249999,11448019.339889998,11359106.29578,BE,2018,-276592.45263999887
4,Ertrag,11279863.08282,11708955.079,11482282.269510001,BE,2018,-429091.9961799998
5,Investitionsausgaben gesamt,666902.534,508369.71376,610863.89,BE,2018,158532.82023999997
6,Investitionseinnahmen gesamt,197449.15,122227.00723,174864.65,BE,2018,75222.14276999999
1,Aktiven,12118342.336230002,13479959.724210002,12026787.504209999,BE,2018,-1361617.3879799992
2,Passiven,12118342.336230004,13479959.72421,12026787.504210003,BE,2018,-1361617.3879799955
3,Aufwand,3697015.4898,3685839.1920000007,3689272.3898799997,LU,2018,11176.29779999936
4,Ertrag,3653450.9960000003,3753326.02756,3663017.39595,LU,2018,-99875.03155999957
5,Investitionsausgaben gesamt,203831.0,123931.46603,238213.029,LU,2018,79899.53397
6,Investitionseinnahmen gesamt,51435.328,30150.18961,73669.178,LU,2018,21285.13839
1,Aktiven,6131911.345,6444042.857999999,6294450.986810001,LU,2018,-312131.51299999934
2,Passiven,6131911.3440000005,6444042.858999999,6294450.61705,LU,2018,-312131.51499999873
3,Aufwand,413438.00000000006,409803.38,413733.79999999993,UR,2018,3634.6200000000536
4,Ertrag,406041.1,416772.6709999999,409475.47,UR,2018,-10731.570999999938
5,Investitionsausgaben gesamt,56193.100000000006,54638.26,68159.45000000001,UR,2018,1554.8400000000038
6,Investitionseinnahmen gesamt,21159.4,25133.623,19994.55,UR,2018,-3974.222999999998
1,Aktiven,429351.085,444665.08999999997,454040.0,UR,2018,-15314.004999999946
2,Passiven,429351.086,444665.091,454040.0,UR,2018,-15314.005000000005
3,Aufwand,1547368.0,1516742.0,1579719.0,SZ,2018,30626.0
4,Ertrag,1560119.0,1624191.0,1566508.0,SZ,2018,-64072.0
5,Investitionsausgaben gesamt,77054.0,63836.0,60425.0,SZ,2018,13218.0
6,Investitionseinnahmen gesamt,19419.0,19290.0,9903.0,SZ,2018,129.0
1,Aktiven,0.0,1070599.0,0.0,SZ,2018,0.0
2,Passiven,0.0,1070599.0,0.0,SZ,2018,0.0
3,Aufwand,322095.0,404781.39999999997,320604.8,OW,2018,-82686.39999999997
4,Ertrag,312130.0,294005.30000000005,309151.2,OW,2018,18124.699999999953
5,Investitionsausgaben gesamt,56080.0,40897.7,65793.7,OW,2018,15182.300000000003
6,Investitionseinnahmen gesamt,44206.0,26655.7,47415.600000000006,OW,2018,17550.3
1,Aktiven,0.0,173882.7,0.0,OW,2018,0.0
2,Passiven,0.0,173883.09999999998,0.0,OW,2018,0.0
3,Aufwand,414246.19999999995,418643.0,426104.1,NW,2018,-4396.800000000047
4,Ertrag,410832.19999999995,415429.79999999993,422263.39999999997,NW,2018,-4597.599999999977
5,Investitionsausgaben gesamt,31606.0,31886.0,44729.5,NW,2018,-280.0
6,Investitionseinnahmen gesamt,11328.5,11217.9,13646.5,NW,2018,110.60000000000036
1,Aktiven,588051.0,644308.0,571976.0,NW,2018,-56257.0
2,Passiven,588051.0,644308.2,571975.0,NW,2018,-56257.19999999995
3,Aufwand,363612.69999999995,389463.0,384108.0,GL,2018,-25850.300000000047
4,Ertrag,362315.4,391351.0,385793.5,GL,2018,-29035.599999999977
5,Investitionsausgaben gesamt,34371.0,31426.0,47961.0,GL,2018,2945.0
6,Investitionseinnahmen gesamt,16142.0,15585.0,10476.0,GL,2018,557.0
1,Aktiven,0.0,562942.0,0.0,GL,2018,0.0
2,Passiven,0.0,562942.0,0.0,GL,2018,0.0
3,Aufwand,1461883.306,1441313.3199999998,1514852.2099999997,ZG,2018,20569.986000000266
4,Ertrag,1463538.70205,1590526.7000000002,1485392.7799999998,ZG,2018,-126987.99795000022
5,Investitionsausgaben gesamt,137655.0,105599.42000000001,106787.5,ZG,2018,32055.579999999987
6,Investitionseinnahmen gesamt,10620.0,10419.56,12122.0,ZG,2018,200.4400000000005
1,Aktiven,0.0,1809972.8799999997,0.0,ZG,2018,0.0
2,Passiven,0.0,1809972.8800000001,0.0,ZG,2018,0.0
3,Aufwand,3507815.0,3582313.0,3583816.0,FR,2018,-74498.0
4,Ertrag,3508032.0,3584008.0,3584054.0,FR,2018,-75976.0
5,Dépenses d'investissements total,207096.0,179343.0,205152.0,FR,2018,27753.0
6,Recettes d'investissements total,48142.0,42952.0,36424.0,FR,2018,5190.0
1,Actif,0.0,3325460.0,0.0,FR,2018,0.0
2,Passif,0.0,3325460.0,0.0,FR,2018,0.0
3,Aufwand,2215630.109,2171307.6999999997,2260721.3999999994,SO,2018,44322.40900000045
4,Ertrag,2218422.3419999997,2228989.7529999996,2277394.4,SO,2018,-10567.410999999847
5,Investitionsausgaben gesamt,184317.0,166692.2,180154.30000000002,SO,2018,17624.79999999999
6,Investitionseinnahmen gesamt,37506.475,35714.3,34511.4,SO,2018,1792.1749999999956
1,Aktiven,0.0,2856479.7,0.0,SO,2018,0.0
2,Passiven,0.0,2856479.513,0.0,SO,2018,0.0
3,Aufwand,4271865.351,4276902.816,4389937.169,BS,2018,-5037.464999999851
4,Ertrag,4405155.329,4559659.194,4507174.125,BS,2018,-154503.86500000022
5,Investitionsausgaben gesamt,420451.182,369451.547,357688.174,BS,2018,50999.63499999995
6,Investitionseinnahmen gesamt,16800.79,61858.048,24643.176,BS,2018,-45057.258
1,Aktiven,0.0,11523129.706149999,0.0,BS,2018,0.0
2,Passiven,0.0,11523129.706149999,0.0,BS,2018,0.0
3,Aufwand,2735334.6,2866579.6,2792265.0999999996,BL,2018,-131245.0
4,Ertrag,2740288.8,2922087.0999999996,2854443.1,BL,2018,-181798.2999999998
5,Investitionsausgaben gesamt,276827.0,247593.69999999998,373529.4,BL,2018,29233.300000000017
6,Investitionseinnahmen gesamt,22282.0,31838.1,195115.5,BL,2018,-9556.099999999999
1,Aktiven,0.0,4793054.0,0.0,BL,2018,0.0
2,Passiven,0.0,4793054.0,0.0,BL,2018,0.0
3,Aufwand,729335.0999999999,728437.0,749377.0,SH,2018,898.0999999998603
4,Ertrag,728253.2000000001,772196.0,754665.0,SH,2018,-43942.79999999993
5,Investitionsausgaben gesamt,45949.4,30078.0,39773.0,SH,2018,15871.400000000001
6,Investitionseinnahmen gesamt,12084.0,19470.0,9130.0,SH,2018,-7386.0
1,Aktiven,0.0,844959.0,801186.0,SH,2018,0.0
2,Passiven,0.0,844959.0,801186.0,SH,2018,0.0
3,Aufwand,489029.1,493781.3,493235.8,AR,2018,-4752.200000000012
4,Ertrag,494600.49999999994,508471.7,509132.39999999997,AR,2018,-13871.20000000007
5,Investitionsausgaben gesamt,32436.0,33920.0,31237.6,AR,2018,-1484.0
6,Investitionseinnahmen gesamt,9903.0,57529.0,8744.0,AR,2018,-47626.0
1,Aktiven,457832.3,374911.9,382732.1,AR,2018,82920.39999999997
2,Passiven,457832.4,374911.9,382732.0,AR,2018,82920.5
3,Aufwand,157250.8,159215.31166,162481.7,AI,2018,-1964.5116600000183
4,Ertrag,155447.0,161761.65477,161082.6,AI,2018,-6314.654769999994
5,Investitionsausgaben gesamt,16273.0,8407.073080000002,17511.0,AI,2018,7865.926919999998
6,Investitionseinnahmen gesamt,2313.0,1403.9858800000002,1915.0,AI,2018,909.0141199999998
1,Aktiven,0.0,201250.53393,0.0,AI,2018,0.0
2,Passiven,0.0,201250.53393000003,0.0,AI,2018,0.0
3,Aufwand,5017770.4,5001095.999999999,5374514.3,SG,2018,16674.400000001304
4,Ertrag,5018141.499999999,5193195.799999999,5386159.3,SG,2018,-175054.2999999998
5,Investitionsausgaben gesamt,469932.6,397581.20000000007,452795.7,SG,2018,72351.3999999999
6,Investitionseinnahmen gesamt,27274.0,44650.5,33536.7,SG,2018,-17376.5
1,Aktiven,0.0,3609316.7,0.0,SG,2018,0.0
2,Passiven,0.0,3609316.9,0.0,SG,2018,0.0
3,Aufwand,2494818.0,2512373.8,2534139.0,GR,2018,-17555.799999999814
4,Ertrag,2472066.0,2515110.4,2500462.0,GR,2018,-43044.39999999991
5,Investitionsausgaben gesamt,445597.0,384728.50000000006,445951.0,GR,2018,60868.49999999994
6,Investitionseinnahmen gesamt,152674.0,145066.0,143585.0,GR,2018,7608.0
1,Aktiven,0.0,3981998.3000000003,0.0,GR,2018,0.0
2,Passiven,0.0,3981998.4,0.0,GR,2018,0.0
3,Aufwand,5496328.687779999,5859566.36743,5469196.14859,AG,2018,-363237.6796500003
4,Ertrag,5474695.449600001,5836406.349339999,5462720.005469999,AG,2018,-361710.8997399984
5,Investitionsausgaben gesamt,260302.26189999998,238979.04403999998,282789.06543,AG,2018,21323.217860000004
6,Investitionseinnahmen gesamt,99092.79000000001,82804.19410000001,81034.76976,AG,2018,16288.5959
1,Aktiven,0.0,3566985.7104700003,0.0,AG,2018,0.0
2,Passiven,0.0,3566985.7104700003,0.0,AG,2018,0.0
3,Aufwand,2111604.0,2121408.0,2164089.0,TG,2018,-9804.0
4,Ertrag,2113717.0,2160096.0,2173806.0,TG,2018,-46379.0
5,Investitionsausgaben gesamt,97488.0,102066.0,99193.0,TG,2018,-4578.0
6,Investitionseinnahmen gesamt,42976.0,59185.0,43902.0,TG,2018,-16209.0
1,Aktiven,0.0,1899344.0,0.0,TG,2018,0.0
2,Passiven,0.0,1899344.0,0.0,TG,2018,0.0
3,Aufwand,3704102.5,3678457.3999999994,3827340.0000000005,TI,2018,25645.10000000056
4,Ertrag,3711596.2999999993,3815658.0999999996,3839165.1,TI,2018,-104061.80000000028
5,Dépenses d'investissements total,355473.6,420919.4,420543.7,TI,2018,-65445.80000000005
6,Recettes d'investissements total,208079.7,129272.0,140250.7,TI,2018,78807.70000000001
1,Actif,0.0,6701480.2,0.0,TI,2018,0.0
2,Passif,0.0,6701480.100000001,0.0,TI,2018,0.0
3,Aufwand,9528576.300000003,10269812.999999998,9771720.8,VD,2018,-741236.6999999955
4,Ertrag,9528637.600000001,10455935.799999999,9771831.300000003,VD,2018,-927298.1999999974
5,Dépenses d'investissements total,428644.2,369866.5,470887.0,VD,2018,58777.70000000001
6,Recettes d'investissements total,33576.0,100712.5,50602.0,VD,2018,-67136.5
1,Actif,0.0,8845904.3,0.0,VD,2018,0.0
2,Passif,0.0,8845904.3,0.0,VD,2018,0.0
3,Aufwand,3498351.5000000005,3781149.2302200003,3618802.1000000006,VS,2018,-282797.7302199998
4,Ertrag,3498393.0999999996,3789894.82034,3618845.4000000004,VS,2018,-291501.72034000047
5,Dépenses d'investissements total,533111.9,445869.51161000005,499820.29999999993,VS,2018,87242.38838999998
6,Recettes d'investissements total,320209.10000000003,250303.53071000002,302889.0,VS,2018,69905.56929000001
1,Actif,0.0,4186628.6293,0.0,VS,2018,0.0
2,Passif,0.0,4186628.6292999997,0.0,VS,2018,0.0
3,Aufwand,2231925.807,2296818.7279999997,2261002.014,NE,2018,-64892.920999999624
4,Ertrag,2194682.6849999996,2263484.569,2243107.4380000005,NE,2018,-68801.88400000054
5,Dépenses d'investissements total,97706.591,80885.56,117178.747,NE,2018,16821.031000000003
6,Recettes d'investissements total,21062.6,32464.328,27776.415,NE,2018,-11401.728000000003
1,Actif,0.0,2670167.128,0.0,NE,2018,0.0
2,Passif,0.0,2670167.229,0.0,NE,2018,0.0
3,Aufwand,8395104.52,8559853.060950002,8648468.357001,GE,2018,-164748.54095000215
4,Ertrag,8208575.847999999,8781498.374179997,8676260.246,GE,2018,-572922.5261799973
5,Dépenses d'investissements total,790314.344,536591.9786400002,824899.6679999998,GE,2018,253722.36535999982
6,Recettes d'investissements total,28926.723,52039.51643,30870.767,GE,2018,-23112.79343
1,Actif,0.0,19742483.83622,0.0,GE,2018,0.0
2,Passif,0.0,19742483.836329997,0.0,GE,2018,0.0
3,,934207.2000000001,925199.9371400002,948068.9,JU,2018,9007.2628599999
4,,928448.2999999999,923906.1826900002,944537.8,JU,2018,4542.117309999769
5,,49923.9,48010.602719999995,54861.4,JU,2018,1913.2972800000061
6,,17183.6,16040.376129999999,20056.0,JU,2018,1143.2238699999998
1,,0.0,833643.8118,0.0,JU,2018,0.0
2,,0.0,833643.8117999999,0.0,JU,2018,0.0
