Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
3,Aufwand,15154443.3976,14855799.06706,15173435.29,ZH,2016,298644.3305400014
4,Ertrag,15222949.894530002,15245365.016730001,15235862.11942,ZH,2016,-22415.12219999917
5,Investitionsausgaben gesamt,1074562.8,770377.14285,1010732.6000000001,ZH,2016,304185.6571500001
6,Investitionseinnahmen gesamt,116291.3,362931.35870999994,104880.5,ZH,2016,-246640.05870999995
1,Aktiven,0.0,20442164.353699997,0.0,ZH,2016,0.0
2,Passiven,0.0,20442164.353699997,0.0,ZH,2016,0.0
3,Aufwand,0.0,10666408.54375,10840904.433910001,BE,2016,0.0
4,Ertrag,0.0,10887631.59542,10941771.04256,BE,2016,0.0
5,Investitionsausgaben gesamt,0.0,761331.65523,704933.9269999999,BE,2016,0.0
6,Investitionseinnahmen gesamt,0.0,321828.25757,248621.28200000004,BE,2016,0.0
1,Aktiven,0.0,7160264.99318,12159047.77797,BE,2016,0.0
2,Passiven,0.0,7160264.993179999,12159047.777980002,BE,2016,0.0
3,Aufwand,3657753.85,3703921.32,3784926.885180001,LU,2016,-46167.46999999974
4,Ertrag,3636558.5330000003,3654594.556,3770294.41363,LU,2016,-18036.02299999958
5,Investitionsausgaben gesamt,191607.01499999998,190077.58200000002,196176.6342,LU,2016,1529.4329999999609
6,Investitionseinnahmen gesamt,48452.136,48443.473999999995,58900.5,LU,2016,8.6620000000039
1,Aktiven,6125493.145680001,6184584.996699999,6251953.930005,LU,2016,-59091.85101999808
2,Passiven,6125493.14568,6184584.998,6251953.930005319,LU,2016,-59091.8523199996
3,Aufwand,401613.0,399412.2,411097.0,UR,2016,2200.7999999999884
4,Ertrag,401932.10000000003,407865.0,410425.4,UR,2016,-5932.899999999965
5,Investitionsausgaben gesamt,80648.1,46454.3,74341.90000000001,UR,2016,34193.8
6,Investitionseinnahmen gesamt,58212.8,25565.800000000003,36171.9,UR,2016,32647.0
1,Aktiven,0.0,392105.19999999995,444610.0,UR,2016,0.0
2,Passiven,0.0,392105.2,444610.1,UR,2016,0.0
3,Aufwand,1452702.6,1531100.2,1495413.4,SZ,2016,-78397.59999999986
4,Ertrag,1397465.4000000001,1542969.0,1446097.4999999998,SZ,2016,-145503.59999999986
5,Investitionsausgaben gesamt,77300.0,61390.0,77500.0,SZ,2016,15910.0
6,Investitionseinnahmen gesamt,31578.0,32689.100000000002,24410.9,SZ,2016,-1111.1000000000022
1,Aktiven,0.0,797225.1,0.0,SZ,2016,0.0
2,Passiven,0.0,797224.8999999999,0.0,SZ,2016,0.0
3,Aufwand,309083.0,315529.0,315310.0,OW,2016,-6446.0
4,Ertrag,301642.0,304768.26,305154.0,OW,2016,-3126.2600000000093
5,Investitionsausgaben gesamt,30287.0,36889.0,46492.0,OW,2016,-6602.0
6,Investitionseinnahmen gesamt,15539.0,19621.0,35846.0,OW,2016,-4082.0
1,Aktiven,0.0,287800.0,0.0,OW,2016,0.0
2,Passiven,0.0,287800.0,0.0,OW,2016,0.0
3,Aufwand,393661.50000000006,393309.81545,404171.1,NW,2016,351.6845500000636
4,Ertrag,391593.70000000007,390494.9,401877.80000000005,NW,2016,1098.8000000000466
5,Investitionsausgaben gesamt,30510.8,24018.3,27930.1,NW,2016,6492.5
6,Investitionseinnahmen gesamt,14994.5,12462.8,11188.9,NW,2016,2531.7000000000007
1,Aktiven,607153.8,632585.0,597904.1,NW,2016,-25431.199999999953
2,Passiven,607153.8,632585.1,597904.1,NW,2016,-25431.29999999993
3,Aufwand,352110.39999999997,372170.0,347437.0,GL,2016,-20059.600000000035
4,Ertrag,339024.1,373180.0,348074.0,GL,2016,-34155.90000000002
5,Investitionsausgaben gesamt,31807.0,29758.0,38775.0,GL,2016,2049.0
6,Investitionseinnahmen gesamt,13643.0,13185.0,14939.0,GL,2016,458.0
1,Aktiven,0.0,573937.0,0.0,GL,2016,0.0
2,Passiven,0.0,573937.0,0.0,GL,2016,0.0
3,Aufwand,1458538.66,1442777.3000000003,1460953.6209999998,ZG,2016,15761.359999999637
4,Ertrag,1288194.9,1350656.7,1343956.277,ZG,2016,-62461.80000000005
5,Investitionsausgaben gesamt,128207.2,117909.2,138353.9,ZG,2016,10298.0
6,Investitionseinnahmen gesamt,18089.0,22033.100000000002,14940.5,ZG,2016,-3944.100000000002
1,Aktiven,0.0,1463084.0,0.0,ZG,2016,0.0
2,Passiven,0.0,1463084.0,0.0,ZG,2016,0.0
3,Aufwand,3324746.0,3545402.0,3455029.0,FR,2016,-220656.0
4,Ertrag,3325253.0,3469610.0,3455503.0,FR,2016,-144357.0
5,Dépenses d'investissements total,164537.0,139145.0,196881.0,FR,2016,25392.0
6,Recettes d'investissements total,34887.0,33573.0,41003.0,FR,2016,1314.0
1,Actif,0.0,3129145.0,0.0,FR,2016,0.0
2,Passif,0.0,3129145.0,0.0,FR,2016,0.0
3,Aufwand,2087395.0999999999,2165677.3,2138310.8,SO,2016,-78282.19999999995
4,Ertrag,2022167.0999999999,2158698.7,2140237.8,SO,2016,-136531.60000000033
5,Investitionsausgaben gesamt,162200.0,158855.3,167092.8,SO,2016,3344.7000000000116
6,Investitionseinnahmen gesamt,35156.600000000006,32449.0,38975.5,SO,2016,2707.600000000006
1,Aktiven,0.0,2740727.0999999996,0.0,SO,2016,0.0
2,Passiven,0.0,2740727.0,0.0,SO,2016,0.0
3,Aufwand,5099735.751,5195651.560270001,4158681.8869999996,BS,2016,-95915.80927000102
4,Ertrag,4147609.8230000003,4744166.781,4301957.414000001,BS,2016,-596556.9580000001
5,Investitionsausgaben gesamt,545515.8859999999,505797.22399999993,569177.568,BS,2016,39718.66200000001
6,Investitionseinnahmen gesamt,15927.562,23354.819,76792.087,BS,2016,-7427.257
1,Aktiven,0.0,11358632.594829999,0.0,BS,2016,0.0
2,Passiven,0.0,11358632.59483,0.0,BS,2016,0.0
3,Aufwand,2614622.7,2901679.3,2661925.0,BL,2016,-287056.5999999996
4,Ertrag,2573571.9,2696757.8000000003,2642987.0,BL,2016,-123185.90000000037
5,Investitionsausgaben gesamt,232533.8,231748.30000000002,288100.0,BL,2016,785.4999999999709
6,Investitionseinnahmen gesamt,37390.0,18601.8,28010.0,BL,2016,18788.2
1,Aktiven,0.0,4388774.7,0.0,BL,2016,0.0
2,Passiven,0.0,4388774.5,0.0,BL,2016,0.0
3,Total Aufwand Laufende Rechnung,684415.0,722246.7579999999,693144.8,SH,2016,-37831.757999999914
4,Total Ertrag Laufende Rechnung,668291.8,738838.6409999998,688953.8999999999,SH,2016,-70546.84099999978
5,Total Ausgaben Investitionsrechnung,32790.0,37462.784,32955.0,SH,2016,-4672.784
6,Total Einnahmen Investitionsrechnung,7752.2,21469.019,18392.6,SH,2016,-13716.819
3,Aufwand,451416.8,471941.0,475649.0,AR,2016,-20524.20000000001
4,Ertrag,462329.19999999995,467956.0,490423.0,AR,2016,-5626.800000000047
5,Investitionsausgaben gesamt,38941.5,38277.0,36857.0,AR,2016,664.5
6,Investitionseinnahmen gesamt,11698.0,14057.0,10932.0,AR,2016,-2359.0
1,Aktiven,0.0,444263.0,428817.0,AR,2016,0.0
2,Passiven,0.0,444263.0,428817.0,AR,2016,0.0
3,Aufwand,148025.5,154322.30000000002,152480.4,AI,2016,-6296.8000000000175
4,Ertrag,146057.0,158132.0,150220.0,AI,2016,-12075.0
5,Investitionsausgaben gesamt,20975.0,17012.8,13300.0,AI,2016,3962.2000000000007
6,Investitionseinnahmen gesamt,2180.0,2507.7,2350.0,AI,2016,-327.6999999999998
1,Aktiven,0.0,184666.0,0.0,AI,2016,0.0
2,Passiven,0.0,184666.0,0.0,AI,2016,0.0
3,Aufwand,4928552.5,4874082.69422,4906231.3,SG,2016,54469.80578000005
4,Ertrag,4897654.4,4882219.4340900015,5195439.399999999,SG,2016,15434.965909998864
5,Investitionsausgaben gesamt,320696.1,187408.34394999998,987894.3,SG,2016,133287.75605
6,Investitionseinnahmen gesamt,54446.3,51044.625100000005,148853.4,SG,2016,3401.674899999998
1,Aktiven,0.0,3406557.1214499995,0.0,SG,2016,0.0
2,Passiven,0.0,3406557.1214500004,0.0,SG,2016,0.0
3,Aufwand,2413778.0,2445179.5,2459369.0,GR,2016,-31401.5
4,Ertrag,2362962.0,2393711.2,2439243.0,GR,2016,-30749.200000000186
5,Investitionsausgaben gesamt,400254.0,355890.5,428451.0,GR,2016,44363.5
6,Investitionseinnahmen gesamt,153029.0,148694.8,154768.0,GR,2016,4334.200000000012
1,Aktiven,0.0,3782706.4000000004,0.0,GR,2016,0.0
2,Passiven,0.0,3782706.4000000004,0.0,GR,2016,0.0
3,Aufwand,5116164.293,5180599.741819999,5211418.932879999,AG,2016,-64435.44881999958
4,Ertrag,5088678.947999999,5045667.199770001,5175294.66335,AG,2016,43011.748229998164
5,Investitionsausgaben gesamt,290257.94,283777.18446,269373.6642,AG,2016,6480.755539999984
6,Investitionseinnahmen gesamt,119243.344,117156.28098000001,108638.00799999999,AG,2016,2087.063019999987
1,Aktiven,0.0,3369834.5466,0.0,AG,2016,0.0
2,Passiven,0.0,3369834.5469000004,0.0,AG,2016,0.0
3,Aufwand,2048802.0,2032952.0,2099398.0,TG,2016,15850.0
4,Ertrag,2040936.0,2034686.0,2107263.0,TG,2016,6250.0
5,Investitionsausgaben gesamt,105587.0,78911.0,97170.0,TG,2016,26676.0
6,Investitionseinnahmen gesamt,46181.0,35679.0,39753.0,TG,2016,10502.0
1,Aktiven,0.0,1887705.0,0.0,TG,2016,0.0
2,Passiven,0.0,1887705.0,0.0,TG,2016,0.0
3,Aufwand,3605092.3400000003,3621137.1451199995,3637685.37,TI,2016,-16044.805119999219
4,Ertrag,3517204.65,3573705.176300001,3603951.4999999995,TI,2016,-56500.52630000096
5,Dépenses d'investissements total,343029.75,285338.48401,337357.10000000003,TI,2016,57691.265989999985
6,Recettes d'investissements total,132379.55,118756.42963999999,119739.20000000001,TI,2016,13623.12036
1,Actif,0.0,6653100.14029,0.0,TI,2016,0.0
2,Passif,0.0,6653100.14029,0.0,TI,2016,0.0
3,Aufwand,9159143.1,9639294.252940001,9298030.4,VD,2016,-480151.15294000134
4,Ertrag,9160680.6,9925559.726109998,9298092.4,VD,2016,-764879.1261099987
5,Dépenses d'investissements total,463118.0,408635.72069000005,405551.0,VD,2016,54482.279309999954
6,Recettes d'investissements total,25188.0,62344.77451999999,40494.0,VD,2016,-37156.77451999999
