Ref-ID,Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
HRM2_ER0030,30,Personalaufwand,1652946.81,1627394.00158,1691499.86,AG,2019,25552.808420000132
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,427424.3518,393083.13309,427038.4628,AG,2019,34341.21870999999
HRM2_neu_ER0033,33,Abschreibungen VV,169602.13879,191283.42486,189745.31546,AG,2019,-21681.286070000002
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,40787.3,35788.16852,36272.925,AG,2019,4999.131480000004
HRM2_ER0036,36,Transferaufwand,2587021.515,2521447.79698,2671028.638,AG,2019,65573.71802000003
HRM2_ER0037,37,Durchlaufende Beiträge,290272.3,303620.92332,316928.8,AG,2019,-13348.623320000013
HRM2_ER0039,39,Interne Verrechungen,241824.891,237174.37713,245787.061,AG,2019,4650.513869999995
HRM2_neu_ER0040,40,Fiskalertrag,2447958.0,2550698.46957,2508376.0,AG,2019,-102740.46957000019
HRM2_ER0041,41,Regalien und Konzessionen,125195.51,177860.2044,125144.0,AG,2019,-52664.69439999999
HRM2_ER0042,42,Entgelte,295677.921,322074.71804,302228.321,AG,2019,-26396.797040000034
HRM2_neu_ER0043,43,Verschiedene Erträge,589.5,1419.85087,413.25,AG,2019,-830.35087
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,62462.84727,52429.916,98413.71187,AG,2019,10032.931270000001
HRM2_ER0046,46,Transferertrag,1782602.62075,1770647.10312,1912536.25875,AG,2019,11955.5176299999
HRM2_ER0047,47,Durchlaufende Beiträge,290272.3,303620.92332,316928.8,AG,2019,-13348.623320000013
HRM2_ER0049,49,Interne Verrechnungen,241824.891,237174.37713,245787.061,AG,2019,4650.513869999995
HRM2_neu_ER0034,34,Finanzaufwand,15454.0,16846.75354,13307.08,AG,2019,-1392.7535400000015
HRM2_neu_ER0044,44,Finanzertrag,159632.58345,133073.99288,139001.9287,AG,2019,26558.59057
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,43862.842,277124.69202,40805.479,AG,2019,-233261.85002
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,56503.832,38415.35406,36749.7,AG,2019,18088.477940000004
HRM2_IR0050,50,Sachanlagen,227780.26543,221763.41771,256276.303,AG,2019,6016.847719999991
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,25.848,0.0,AG,2019,0.0
HRM2_IR0052,52,Immaterielle Anlagen,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0054,54,Darlehen,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0056,56,Eigene Investitionsbeiträge,52184.3,49288.78435,88367.97,AG,2019,2895.515650000001
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,2824.5,4982.1137,3478.64,AG,2019,-2157.6137
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,1833.571,2019.934,621.767,AG,2019,-186.36300000000006
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,0.0,25.848,0.0,AG,2019,0.0
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,76051.69876,69856.5949,86472.37648,AG,2019,6195.103860000003
HRM2_IR0064,64,Rückzahlung von Darlehen,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,0.0,AG,2019,0.0
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,325.0,528.45262,127.5,AG,2019,-203.45262000000002
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,2824.5,4982.1137,3478.64,AG,2019,-2157.6137
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,0.0,AG,2019,0.0
HRM2_BI0010,10,Finanzvermögen,0.0,1884747.25568,0.0,AG,2019,0.0
HRM2_BI0014,14,Verwaltungsvermögen,0.0,1783113.7832,0.0,AG,2019,0.0
HRM2_BI0020,20,Fremdkapital,0.0,2715695.46932,0.0,AG,2019,0.0
HRM2_BI0029,29,Eigenkapital,0.0,952165.56956,0.0,AG,2019,0.0
HRM2_ER0030,30,Personalaufwand,26372.0,26114.0,27321.0,AI,2019,258.0
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,17296.8,15608.7,18434.0,AI,2019,1688.0999999999985
HRM2_neu_ER0033,33,Abschreibungen VV,4507.0,4125.6,5126.0,AI,2019,381.39999999999964
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,619.0,4204.0,426.5,AI,2019,-3585.0
HRM2_ER0036,36,Transferaufwand,81579.9,80662.8,82067.4,AI,2019,917.0999999999913
HRM2_ER0037,37,Durchlaufende Beiträge,23854.0,22410.3,24545.0,AI,2019,1443.7000000000007
HRM2_ER0039,39,Interne Verrechungen,8623.0,8586.8,8819.0,AI,2019,36.20000000000073
HRM2_neu_ER0040,40,Fiskalertrag,53639.0,65681.9,57142.0,AI,2019,-12042.899999999994
HRM2_ER0041,41,Regalien und Konzessionen,3547.0,3521.9,3518.0,AI,2019,25.09999999999991
HRM2_ER0042,42,Entgelte,13793.5,13992.0,14053.0,AI,2019,-198.5
HRM2_neu_ER0043,43,Verschiedene Erträge,153.0,215.5,173.0,AI,2019,-62.5
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,598.5,685.2,455.0,AI,2019,-86.70000000000005
HRM2_ER0046,46,Transferertrag,43446.6,45892.5,43076.6,AI,2019,-2445.9000000000015
HRM2_ER0047,47,Durchlaufende Beiträge,23854.0,22410.3,24545.0,AI,2019,1443.7000000000007
HRM2_ER0049,49,Interne Verrechnungen,8623.0,8586.8,8819.0,AI,2019,36.20000000000073
HRM2_neu_ER0034,34,Finanzaufwand,48.0,192.5,38.0,AI,2019,-144.5
HRM2_neu_ER0044,44,Finanzertrag,12046.0,15137.4,12189.5,AI,2019,-3091.3999999999996
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,-418.0,12182.0,573.0,AI,2019,-12600.0
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,1382.0,1846.0,1344.0,AI,2019,-464.0
HRM2_IR0050,50,Sachanlagen,16447.0,14488.9,21450.0,AI,2019,1958.1000000000004
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0052,52,Immaterielle Anlagen,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0054,54,Darlehen,0.0,5.0,0.0,AI,2019,0.0
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0056,56,Eigene Investitionsbeiträge,1064.0,987.6,650.0,AI,2019,76.39999999999998
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,0.0,0.0,0.0,AI,2019,0.0
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,720.0,1198.4,650.0,AI,2019,-478.4000000000001
HRM2_IR0064,64,Rückzahlung von Darlehen,0.0,109.3,0.0,AI,2019,0.0
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,0.0,AI,2019,0.0
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,1195.0,1270.5,1181.5,AI,2019,-75.5
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,0.0,0.0,0.0,AI,2019,0.0
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,0.0,AI,2019,0.0
HRM2_BI0010,10,Finanzvermögen,0.0,154190.9,0.0,AI,2019,0.0
HRM2_BI0014,14,Verwaltungsvermögen,0.0,69679.4,0.0,AI,2019,0.0
HRM2_BI0020,20,Fremdkapital,0.0,68095.1,0.0,AI,2019,0.0
HRM2_BI0029,29,Eigenkapital,0.0,155775.4,0.0,AI,2019,0.0
HRM2_ER0030,30,Personalaufwand,95571.7,94589.0,97903.8,AR,2019,982.6999999999971
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,46052.4,48221.5,48221.0,AR,2019,-2169.0999999999985
HRM2_neu_ER0033,33,Abschreibungen VV,17432.8,16721.1,17652.1,AR,2019,711.7000000000007
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,32.0,0.0,205.8,AR,2019,32.0
HRM2_ER0036,36,Transferaufwand,257105.7,257457.6,262750.2,AR,2019,-351.8999999999942
HRM2_ER0037,37,Durchlaufende Beiträge,37418.6,39630.9,37546.7,AR,2019,-2212.300000000003
HRM2_ER0039,39,Interne Verrechungen,37355.2,36229.8,36773.9,AR,2019,1125.3999999999942
HRM2_neu_ER0040,40,Fiskalertrag,201054.0,199771.0,200613.0,AR,2019,1283.0
HRM2_ER0041,41,Regalien und Konzessionen,3274.3,3194.1,3207.4,AR,2019,80.20000000000027
HRM2_ER0042,42,Entgelte,25639.0,27030.6,26214.7,AR,2019,-1391.5999999999985
HRM2_neu_ER0043,43,Verschiedene Erträge,3665.4,6060.3,4049.6,AR,2019,-2394.9
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,1145.0,553.2,400.9,AR,2019,591.8
HRM2_ER0046,46,Transferertrag,166175.0,172668.7,175844.4,AR,2019,-6493.700000000012
HRM2_ER0047,47,Durchlaufende Beiträge,37418.6,39630.9,37546.7,AR,2019,-2212.300000000003
HRM2_ER0049,49,Interne Verrechnungen,37355.2,36229.8,36773.9,AR,2019,1125.3999999999942
HRM2_neu_ER0034,34,Finanzaufwand,2074.0,1763.3,5652.0,AR,2019,310.70000000000005
HRM2_neu_ER0044,44,Finanzertrag,18427.4,20165.0,20887.9,AR,2019,-1737.5999999999985
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,192.9,1939.1000000000001,1.4,AR,2019,-1746.2
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,14978.2,13323.599999999999,18741.1,AR,2019,1654.6000000000022
HRM2_IR0050,50,Sachanlagen,18450.0,13736.1,23500.0,AR,2019,4713.9
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,0.0,0.0,AR,2019,0.0
HRM2_IR0052,52,Immaterielle Anlagen,2238.0,1067.0,3114.0,AR,2019,1171.0
HRM2_IR0054,54,Darlehen,935.0,941.5,930.1,AR,2019,-6.5
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,120.6,1.4,408.2,AR,2019,119.19999999999999
HRM2_IR0056,56,Eigene Investitionsbeiträge,5718.0,5660.6,4923.0,AR,2019,57.399999999999636
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,3776.0,3635.2,3677.0,AR,2019,140.80000000000018
HRM2_neu_IR0058,58,Ausserordentliche Investitionen,0.0,0.0,0.0,AR,2019,0.0
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,0.0,0.0,3600.0,AR,2019,0.0
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,208.0,0.0,703.8,AR,2019,208.0
HRM2_IR0062,62,Abgang immaterielle Anlagen,0.0,0.0,0.0,AR,2019,0.0
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,3905.0,3307.7,5900.0,AR,2019,597.3000000000002
HRM2_IR0064,64,Rückzahlung von Darlehen,855.0,696.8,733.3,AR,2019,158.20000000000005
HRM2_IR0065,65,Übertragung von Beteiligungen,0.0,0.0,0.0,AR,2019,0.0
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,0.0,0.0,0.0,AR,2019,0.0
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,3776.0,3635.2,3677.0,AR,2019,140.80000000000018
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,0.0,0.0,0.0,AR,2019,0.0
HRM2_BI0010,10,Finanzvermögen,158462.0,190935.8,155926.00000000003,AR,2019,-32473.79999999999
HRM2_BI0014,14,Verwaltungsvermögen,224270.1,209715.7,220003.2,AR,2019,14554.399999999994
HRM2_BI0020,20,Fremdkapital,228771.7,229102.1,214631.40000000002,AR,2019,-330.3999999999942
HRM2_BI0029,29,Eigenkapital,153960.3,171549.8,161297.7,AR,2019,-17589.5
HRM2_ER0030,30,Personalaufwand,3025058.7,2954935.3,3014248.8,BE,2019,70123.40000000037
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,948097.3,924267.7,994503.8,BE,2019,23829.600000000093
HRM2_neu_ER0033,33,Abschreibungen VV,331484.4,299108.2,300506.2,BE,2019,32376.20000000001
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,75756.4,88728.2,79600.1,BE,2019,-12971.800000000003
HRM2_ER0036,36,Transferaufwand,6095229.8,6110230.3,6464934.0,BE,2019,-15000.5
HRM2_ER0037,37,Durchlaufende Beiträge,585508.5,582437.9,583713.0,BE,2019,3070.5999999999767
HRM2_ER0039,39,Interne Verrechungen,189331.6,152659.3,156150.1,BE,2019,36672.30000000002
HRM2_neu_ER0040,40,Fiskalertrag,5468675.0,5435002.3,5774090.0,BE,2019,33672.700000000186
HRM2_ER0041,41,Regalien und Konzessionen,90710.0,171848.5,139453.0,BE,2019,-81138.5
HRM2_ER0042,42,Entgelte,641223.8,610656.2,569116.2,BE,2019,30567.600000000093
HRM2_neu_ER0043,43,Verschiedene Erträge,3691.1,3815.3,1927.0,BE,2019,-124.20000000000027
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,79695.2,95067.0,82535.0,BE,2019,-15371.800000000003
HRM2_ER0046,46,Transferertrag,4081472.9,4109787.1,4189307.3,BE,2019,-28314.200000000186
HRM2_ER0047,47,Durchlaufende Beiträge,585508.5,582437.9,583713.0,BE,2019,3070.5999999999767
HRM2_ER0049,49,Interne Verrechnungen,189331.6,152659.3,156150.1,BE,2019,36672.30000000002
HRM2_neu_ER0034,34,Finanzaufwand,98754.6,97133.7,85415.0,BE,2019,1620.9000000000087
HRM2_neu_ER0044,44,Finanzertrag,129750.2,290587.1,282357.9,BE,2019,-160836.89999999997
HRM2_neu_ER0038,38,Ausserordentlicher Aufwand,9885.0,25681.1,25679.7,BE,2019,-15796.099999999999
HRM2_neu_ER0048,48,Ausserordentlicher Ertrag,212224.0,48254.7,144404.7,BE,2019,163969.3
HRM2_IR0050,50,Sachanlagen,372616.5,300191.7,335601.7,BE,2019,72424.79999999999
HRM2_IR0051,51,Investitionen auf Rechnung Dritter,0.0,0.0,0.0,BE,2019,0.0
HRM2_IR0052,52,Immaterielle Anlagen,16582.4,26241.8,34486.2,BE,2019,-9659.399999999998
HRM2_IR0054,54,Darlehen,26000.0,27183.1,23900.0,BE,2019,-1183.0999999999985
HRM2_IR0055,55,Beteiligungen und Grundkapitalien,0.0,1.7,0.0,BE,2019,0.0
HRM2_IR0056,56,Eigene Investitionsbeiträge,176815.0,147917.7,148238.9,BE,2019,28897.29999999999
HRM2_IR0057,57,Durchlaufende Investitionsbeiträge,18850.0,18798.4,19850.0,BE,2019,51.599999999998545
