Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
3,Aufwand,14217405.07,14226798.462679999,14429956.727,ZH,2013,-9393.392679998651
4,Ertrag,14234972.458999997,14189208.396429999,14487182.384999998,ZH,2013,45764.062569998205
5,Investitionsausgaben gesamt,984577.3,896797.5650500001,831710.7,ZH,2013,87779.73494999995
6,Investitionseinnahmen gesamt,208288.5,294066.83465,179648.0,ZH,2013,-85778.33464999998
1,Aktiven,0.0,20828716.38434,0.0,ZH,2013,0.0
2,Passiven,0.0,20828716.38409,0.0,ZH,2013,0.0
3,Total Aufwand Laufende Rechnung,10425762.08286,10245828.100000001,10364782.200000001,BE,2013,179933.98285999894
4,Total Ertrag Laufende Rechnung,10434937.57074,10402791.3,10375502.3,BE,2013,32146.27073999867
5,Total Ausgaben Investitionsrechnung,999911.9086,1032137.2,1011094.7999999999,BE,2013,-32225.291399999987
6,Total Einnahmen Investitionsrechnung,408211.75299999997,480884.3,400948.9,BE,2013,-72672.54700000002
3,Aufwand,3575638.2420000006,3631685.5743,3603702.48138,LU,2013,-56047.33229999943
4,Ertrag,3564514.748,3636872.8300799998,3611674.2378900005,LU,2013,-72358.08207999961
5,Investitionsausgaben gesamt,190430.13099999996,179654.53502,189756.354,LU,2013,10775.595979999955
6,Investitionseinnahmen gesamt,50949.3,63790.05122000001,49822.2,LU,2013,-12840.751220000006
1,Aktiven,0.0,6218836.39212,6190569.624120001,LU,2013,0.0
2,Passiven,0.0,6218836.39212,6190569.62412,LU,2013,0.0
3,Aufwand,389780.81899999996,386491.35000000003,396216.80999999994,UR,2013,3289.4689999999246
4,Ertrag,395175.67000000004,408451.74600000004,402682.08999999997,UR,2013,-13276.076000000001
5,Investitionsausgaben gesamt,71317.2,46741.77,69201.5,UR,2013,24575.43
6,Investitionseinnahmen gesamt,43436.7,26152.38,46991.0,UR,2013,17284.319999999996
1,Aktiven,0.0,357387.113,0.0,UR,2013,0.0
2,Passiven,0.0,357387.11,0.0,UR,2013,0.0
3,Total Aufwand Laufende Rechnung,1325452.0,1339851.0,1362670.0,SZ,2013,-14399.0
4,Total Ertrag Laufende Rechnung,1224784.0,1199189.0,1265869.0,SZ,2013,25595.0
5,Total Ausgaben Investitionsrechnung,125727.0,87997.0,122405.0,SZ,2013,37730.0
6,Total Einnahmen Investitionsrechnung,38939.0,35296.0,41610.0,SZ,2013,3643.0
3,Aufwand,291634.0,294009.0,301023.0,OW,2013,-2375.0
4,Ertrag,289669.0,291931.0,298959.0,OW,2013,-2262.0
5,Investitionsausgaben gesamt,59836.0,58099.0,56040.0,OW,2013,1737.0
6,Investitionseinnahmen gesamt,31179.0,29428.0,26590.0,OW,2013,1751.0
1,Aktiven,0.0,302220.0,0.0,OW,2013,0.0
2,Passiven,0.0,302220.0,0.0,OW,2013,0.0
3,Aufwand,359297.60000000003,365700.6,370069.30000000005,NW,2013,-6402.999999999942
4,Ertrag,358897.39999999997,364521.6,368161.00000000006,NW,2013,-5624.200000000012
5,Investitionsausgaben gesamt,39149.0,26838.3,35124.0,NW,2013,12310.7
6,Investitionseinnahmen gesamt,14423.0,8286.5,16526.0,NW,2013,6136.5
1,Aktiven,0.0,369652.10000000003,0.0,NW,2013,0.0
2,Passiven,0.0,369652.3,0.0,NW,2013,0.0
3,Aufwand,321986.7,340930.4000000001,326459.1,GL,2013,-18943.70000000007
4,Ertrag,321328.0,342116.89999999997,315528.1,GL,2013,-20788.899999999965
5,Investitionsausgaben gesamt,27574.9,28991.699999999997,32150.9,GL,2013,-1416.7999999999956
6,Investitionseinnahmen gesamt,10314.6,16379.0,10335.8,GL,2013,-6064.4
1,Aktiven,0.0,564302.2200000001,0.0,GL,2013,0.0
2,Passiven,0.0,564302.1,0.0,GL,2013,0.0
3,Aufwand,1431555.932,1391607.495,1430735.3210000002,ZG,2013,39948.43699999992
4,Ertrag,1406712.2270000002,1371103.3029999998,1359991.6700000002,ZG,2013,35608.92400000035
5,Investitionsausgaben gesamt,128174.8,89320.13699999999,122600.2,ZG,2013,38854.663000000015
6,Investitionseinnahmen gesamt,19360.5,12282.482,23777.5,ZG,2013,7078.018
1,Aktiven,0.0,1751111.334,0.0,ZG,2013,0.0
2,Passiven,0.0,1751111.3350000002,0.0,ZG,2013,0.0
3,Aufwand,3203911.8,3187627.0,3188104.0,FR,2013,16284.799999999814
4,Ertrag,3204409.7,3186727.0,3188643.0,FR,2013,17682.700000000186
5,Dépenses d'investissements total,206504.0,187597.0,196533.0,FR,2013,18907.0
6,Recettes d'investissements total,51541.0,45515.0,52264.0,FR,2013,6026.0
1,Actif,0.0,2624006.0,0.0,FR,2013,0.0
2,Passif,0.0,2624006.0,0.0,FR,2013,0.0
3,Aufwand,1981845.9,1990161.97,2001198.0329999998,SO,2013,-8316.070000000065
