Year,Region,Acc-ID,Realized,Budget y,Budget y+1,Slack
2021,AR,63,2675.7,4100.0,7800.0,1424.3000000000002
2021,AR,64,1697.6,378.3,384.3,-1319.3
2021,AR,65,0.0,0.0,0.0,0.0
2021,AR,66,0.0,0.0,0.0,0.0
2021,AR,67,3753.6,3747.0,3690.0,-6.599999999999909
2021,AR,68,0.0,0.0,0.0,0.0
2021,AR,10,211335.1,190936.0,168318.69999999998,-20399.099999999977
2021,AR,14,186335.2,208239.0,198139.9,21903.800000000017
2021,AR,20,220781.7,246698.4,178312.0,25916.699999999983
2021,AR,29,176888.7,152477.0,188146.6,-24411.70000000001
2021,BE,30,3079322.4,3108655.7,3196887.4,29333.30000000028
2021,BE,31,969183.3,1007929.7,1024521.5,38746.39999999991
2021,BE,33,283650.1,290047.2,286510.7,6397.100000000035
2021,BE,35,125093.0,79570.7,70980.7,-45522.3
2021,BE,36,6885855.5,6584477.6,6673730.4,-301377.9000000004
2021,BE,37,584180.8,580280.0,577095.2,-3900.800000000047
2021,BE,39,150910.9,169232.3,179884.7,18321.4
2021,BE,40,5542514.8,5311910.0,5647480.0,-230604.7999999998
2021,BE,41,542948.1,302390.5,539190.5,-240557.6
2021,BE,42,627259.2,543642.8,553238.8,-83616.3999999999
2021,BE,43,3158.4,2629.7,2746.4,-528.7000000000003
2021,BE,45,107916.7,84732.1,68609.2,-23184.59999999999
2021,BE,46,4233940.0,3955327.6,3987974.8,-278612.3999999999
2021,BE,47,584180.8,580280.0,577095.2,-3900.800000000047
2021,BE,49,150910.9,169232.3,179884.7,18321.4
2021,BE,34,75677.2,78184.0,64384.1,2506.800000000003
2021,BE,44,311209.4,285787.9,310127.0,-25421.5
2021,BE,38,15643.8,22520.0,16750.0,6876.200000000001
2021,BE,48,2282.7,136238.0,136219.6,133955.3
2021,BE,50,312964.1,282113.2,293397.9,-30850.899999999965
2021,BE,51,545.3,0.0,0.0,0.0
2021,BE,52,38531.0,62589.9,49366.8,24058.9
2021,BE,54,56870.2,29217.5,32687.0,-27652.7
2021,BE,55,0.0,0.0,0.0,0.0
2021,BE,56,116151.9,122495.0,119677.8,6343.100000000006
2021,BE,57,19375.2,19850.0,13850.0,474.7999999999993
2021,BE,58,0.0,0.0,0.0,0.0
2021,BE,60,3673.9,104.0,100.0,-3569.9
2021,BE,61,3766.4,8085.0,4216.0,4318.6
2021,BE,62,4517.4,3497.8,0.0,-1019.5999999999996
2021,BE,63,55326.4,55851.4,61207.1,525.0
2021,BE,64,39597.3,27572.5,28189.0,-12024.800000000005
2021,BE,65,4934.0,0.0,0.0,0.0
2021,BE,66,1503.4,0.0,610.7,0.0
2021,BE,67,19375.2,19850.0,13850.0,474.7999999999993
2021,BE,68,0.0,0.0,0.0,0.0
2021,BE,10,5669903.7,5258153.399999999,5689728.6,-411750.3000000008
2021,BE,14,7005168.100000001,7473780.9,7084392.5,468612.7999999998
2021,BE,20,12032106.6,11988692.1,12729032.0,-43414.5
2021,BE,29,642965.2,743242.2,45089.1,100277.0
2021,BL,30,648648.522,648509.42514,666407.29,-139.09686000004876
2021,BL,31,311371.126,263456.23102,287880.391,-47914.89497999998
2021,BL,33,99164.491,103380.838,83672.049,4216.347000000009
2021,BL,35,2990.89485,0.0,2000.0,0.0
2021,BL,36,1850722.109,1682149.50242,1758731.381,-168572.6065799999
2021,BL,37,60138.353,88267.373,76177.652,28129.020000000004
2021,BL,39,20864.852,17265.781199999998,15709.2102,-3599.0708000000013
2021,BL,40,1930753.49363,1839442.9436,1899406.9436,-91310.55003000004
2021,BL,41,159193.15361,90129.2,89816.0,-69063.95361000001
2021,BL,42,165098.94738,120710.76,135204.364,-44388.18738
2021,BL,43,7239.73307,3655.1,3949.9,-3584.6330700000003
2021,BL,45,18513.58402,14395.815,10429.744,-4117.769019999998
2021,BL,46,732809.21949,609267.82103,640568.029,-123541.39846000004
2021,BL,47,60138.35348,88267.373,76177.652,28129.01952000001
2021,BL,49,20864.852,17265.781199999998,15709.2102,-3599.0708000000013
2021,BL,34,36156.66547,35803.685,34681.175,-352.98047000000224
2021,BL,44,130020.02819,111611.524,122970.38248,-18408.504189999992
2021,BL,38,111145.76165,55548.0,66498.0,-55597.76165
2021,BL,48,0.0,0.0,0.0,0.0
2021,BL,50,144391.295,204843.3,172961.8,60452.004999999976
2021,BL,51,0.0,0.0,0.0,0.0
2021,BL,52,0.0,0.0,0.0,0.0
2021,BL,54,62.002,5000.0,5000.0,4937.998
2021,BL,55,0.0,0.0,0.0,0.0
2021,BL,56,3904.495,22650.861,21550.0,18746.366
2021,BL,57,0.0,0.0,0.0,0.0
2021,BL,58,0.0,0.0,0.0,0.0
2021,BL,60,0.0,0.0,0.0,0.0
2021,BL,61,142.662,0.0,731.0,0.0
2021,BL,62,0.0,0.0,0.0,0.0
2021,BL,63,15003.877,17990.0,20870.0,2986.123
2021,BL,64,4987.646,10102.0,9989.0,5114.354
2021,BL,65,0.0,0.0,0.0,0.0
2021,BL,66,0.0,100.0,100.0,100.0
2021,BL,67,0.0,0.0,0.0,0.0
2021,BL,68,0.0,0.0,0.0,0.0
2021,BL,10,2707669.665,0.0,0.0,0.0
2021,BL,14,2612336.993,0.0,0.0,0.0
2021,BL,20,5236397.198,0.0,0.0,0.0
2021,BL,29,83609.46,0.0,0.0,0.0
2021,BS,30,1338956.282,0.0,1391298.207,0.0
2021,BS,31,449660.209,0.0,465127.702,0.0
2021,BS,33,212988.591,208728.889,216345.767,-4259.701999999961
2021,BS,35,0.0,0.0,0.0,0.0
2021,BS,36,2279256.178,2081290.386,2095788.474,-197965.7919999999
2021,BS,37,0.0,0.0,0.0,0.0
2021,BS,39,332146.452,322199.451,337084.39,-9947.00099999999
2021,BS,40,2854791.534,2812640.0,2775690.0,-42151.53399999999
2021,BS,41,116134.15259,59974.5,73932.799,-56159.65259
2021,BS,42,333229.90297,361874.477,359848.422,28644.57403000001
2021,BS,43,44164.57138,33493.596,30039.871,-10670.975380000003
2021,BS,45,0.0,0.0,0.0,0.0
2021,BS,46,897380.559999,711319.167,751718.212,-186061.39299900003
2021,BS,47,0.0,0.0,0.0,0.0
2021,BS,49,332146.45204,322199.451,337084.39,-9947.001040000005
2021,BS,34,162491.69686,92666.963,99916.011,-69824.73386
2021,BS,44,412817.6601,324078.961,338620.979,-88738.69909999997
2021,BS,38,0.0,0.0,0.0,0.0
2021,BS,48,0.0,0.0,0.0,0.0
2021,BS,50,287538.25798,355145.103,348480.151,67606.84502000001
2021,BS,51,-19.78825,0.0,0.0,0.0
2021,BS,52,14353.01279,220.0,710.0,-14133.01279
2021,BS,54,5379.65935,95710.0,75857.0,90330.34065
2021,BS,55,0.0,1000.0,6000.0,1000.0
2021,BS,56,17978.89425,0.0,0.0,0.0
2021,BS,57,0.0,0.0,0.0,0.0
2021,BS,58,0.0,0.0,0.0,0.0
2021,BS,60,4197.37981,3470.313,191.107,-727.0668100000003
2021,BS,61,-19.78825,0.0,0.0,0.0
2021,BS,62,0.0,0.0,0.0,0.0
2021,BS,63,28058.89556,1015.75,1276.0,-27043.14556
2021,BS,64,19496.81148,17478.32,20165.32,-2018.4914800000008
2021,BS,65,0.0,0.0,0.0,0.0
2021,BS,66,0.0,0.0,0.0,0.0
2021,BS,67,0.0,0.0,0.0,0.0
2021,BS,68,0.0,0.0,0.0,0.0
2021,BS,10,7358801.02799,0.0,0.0,0.0
2021,BS,14,6058977.82706,0.0,0.0,0.0
2021,BS,20,7299419.77554,0.0,0.0,0.0
2021,BS,29,6118359.07951,0.0,0.0,0.0
2021,FR,30,1383063.0,1359584.0,1389755.0,-23479.0
2021,FR,31,389525.0,407401.0,394843.0,17876.0
2021,FR,33,75143.0,82334.0,85210.0,7191.0
2021,FR,35,177752.0,54818.0,73898.0,-122934.0
2021,FR,36,1721933.0,1604609.0,1681823.0,-117324.0
2021,FR,37,224543.0,223975.0,223152.0,-568.0
2021,FR,39,46812.0,48111.0,45973.0,1299.0
2021,FR,40,1367312.0,1325556.0,1350310.0,-41756.0
2021,FR,41,169584.0,19694.0,69679.0,-149890.0
2021,FR,42,336636.0,249291.0,256824.0,-87345.0
2021,FR,43,1201.0,2096.0,2075.0,895.0
2021,FR,45,178887.0,217171.0,162129.0,38284.0
2021,FR,46,1630327.0,1596860.0,1684060.0,-33467.0
2021,FR,47,224843.0,223975.0,223152.0,-868.0
2021,FR,49,46812.0,48111.0,45973.0,1299.0
2021,FR,34,5260.0,4921.0,5221.0,-339.0
2021,FR,44,115755.0,103280.0,105933.0,-12475.0
2021,FR,38,47539.0,0.0,0.0,0.0
2021,FR,48,903.0,0.0,0.0,0.0
2021,FR,50,68053.0,109631.0,114366.0,41578.0
2021,FR,51,0.0,0.0,0.0,0.0
2021,FR,52,0.0,0.0,0.0,0.0
2021,FR,54,8311.0,7012.0,12938.0,-1299.0
2021,FR,55,850.0,15600.0,10600.0,14750.0
2021,FR,56,44674.0,51308.0,69916.0,6634.0
2021,FR,57,11516.0,25597.0,30608.0,14081.0
2021,FR,58,0.0,0.0,0.0,0.0
2021,FR,60,0.0,0.0,0.0,0.0
2021,FR,61,4.0,0.0,0.0,0.0
2021,FR,62,0.0,0.0,0.0,0.0
2021,FR,63,10654.0,8214.0,10857.0,-2440.0
2021,FR,64,11457.0,11461.0,11284.0,4.0
2021,FR,65,0.0,0.0,0.0,0.0
2021,FR,66,16.0,50.0,50.0,34.0
2021,FR,67,11516.0,25597.0,30608.0,14081.0
2021,FR,68,0.0,0.0,0.0,0.0
2021,FR,10,2470651.0,0.0,0.0,0.0
2021,FR,14,916131.0,0.0,0.0,0.0
2021,FR,20,2093589.0,0.0,0.0,0.0
2021,FR,29,1293193.0,0.0,0.0,0.0
2021,GE,30,2643601.91,2650970.21,2637286.94,7368.299999999814
2021,GE,31,622399.9,583408.54,579473.01,-38991.35999999999
2021,GE,33,361472.05,363673.72,360354.72,2201.669999999984
2021,GE,35,0.0,0.0,0.0,0.0
2021,GE,36,5995519.26,5431495.71,5402855.71,-564023.5499999998
2021,GE,37,77692.89,47987.09,57739.09,-29705.800000000003
2021,GE,39,15337.81,14905.07,15323.04,-432.7399999999998
2021,GE,40,7088550.65,6311333.46,6867241.32,-777217.1900000004
2021,GE,41,260453.95,144596.62,261896.62,-115857.33000000002
2021,GE,42,411314.55,423407.66,423148.02,12093.109999999986
2021,GE,43,188327.35,145294.88,86596.51,-43032.47
2021,GE,45,0.0,0.0,0.0,0.0
2021,GE,46,1938067.79,1285452.73,1372173.53,-652615.06
2021,GE,47,77692.89,47987.09,57739.09,-29705.800000000003
2021,GE,49,15337.81,14905.07,15323.04,-432.7399999999998
2021,GE,34,202728.8,213415.11,195696.41,10686.309999999998
2021,GE,44,192949.34,206230.69,191728.33,13281.350000000006
2021,GE,38,204837.33,120259.25,120235.49,-84578.07999999999
2021,GE,48,0.0,0.0,0.0,0.0
2021,GE,50,378741.016,540539.216,522397.7218,161798.2
2021,GE,51,0.0,0.0,0.0,0.0
2021,GE,52,39129.938,47362.255,58141.948200000006,8232.316999999995
2021,GE,54,54524.978,53025.792,30420.375,-1499.1860000000015
2021,GE,55,9218.96,17000.0,17000.0,7781.040000000001
2021,GE,56,118988.215,146090.396,173375.213,27102.18100000001
2021,GE,57,0.0,0.0,0.0,0.0
2021,GE,58,0.0,0.0,0.0,0.0
2021,GE,60,597.97906,0.0,0.0,0.0
2021,GE,61,0.0,0.0,0.0,0.0
2021,GE,62,0.0,0.0,0.0,0.0
2021,GE,63,24985.639,53460.71,39780.628,28475.071
2021,GE,64,8427.382,6448.463,6016.25,-1978.919
2021,GE,65,0.0,0.0,0.0,0.0
2021,GE,66,52.799,0.0,0.0,0.0
2021,GE,67,0.0,0.0,0.0,0.0
2021,GE,68,0.0,0.0,0.0,0.0
2021,GE,10,3683850.35298,0.0,0.0,0.0
2021,GE,14,16254010.9018,0.0,0.0,0.0
2021,GE,20,21839322.12961,0.0,0.0,0.0
2021,GE,29,-1901460.8748399992,0.0,0.0,0.0
2021,GL,30,80907.5,80395.7,83575.1,-511.8000000000029
2021,GL,31,35090.7,31244.1,33687.6,-3846.599999999999
2021,GL,33,5311.0,7071.4,7665.1,1760.3999999999996
2021,GL,35,10165.3,10828.1,5914.1,662.8000000000011
2021,GL,36,201531.2,202486.8,203619.6,955.5999999999768
2021,GL,37,44636.4,26491.1,26545.7,-18145.300000000003
2021,GL,39,28670.2,28072.0,29228.3,-598.2000000000007
2021,GL,40,114483.2,110977.5,113357.0,-3505.699999999997
2021,GL,41,28999.8,16125.0,22795.0,-12874.8
2021,GL,42,27460.6,25029.7,25985.9,-2430.899999999998
2021,GL,43,1031.9,238.0,238.5,-793.9000000000001
2021,GL,45,5360.0,3088.1,5027.0,-2271.9
2021,GL,46,146061.2,139565.7,138508.0,-6495.5
2021,GL,47,44636.4,26491.1,26545.7,-18145.300000000003
2021,GL,49,28670.2,28072.0,29228.3,-598.2000000000007
2021,GL,34,29351.0,7235.1,7412.6,-22115.9
2021,GL,44,47359.0,25255.5,27262.3,-22103.5
2021,GL,38,10866.7,0.0,0.0,0.0
2021,GL,48,5988.6,7753.5,543.5,1764.8999999999996
2021,GL,50,17327.4,24785.0,22260.0,7457.5999999999985
2021,GL,51,0.0,0.0,0.0,0.0
2021,GL,52,1562.1,1378.0,1783.0,-184.0999999999999
2021,GL,54,3093.4,1990.0,1990.0,-1103.4
2021,GL,55,27282.6,34517.0,0.0,7234.4000000000015
2021,GL,56,22447.5,26218.0,14821.0,3770.5
2021,GL,57,7843.3,6279.0,12027.0,-1564.3000000000002
2021,GL,58,0.0,0.0,0.0,0.0
2021,GL,60,0.0,0.0,0.0,0.0
2021,GL,61,0.0,0.0,0.0,0.0
2021,GL,62,0.0,0.0,0.0,0.0
2021,GL,63,3924.4,3824.0,4766.0,-100.40000000000008
2021,GL,64,2683.3,1643.0,1608.0,-1040.3000000000002
2021,GL,65,80.0,0.0,0.0,0.0
2021,GL,66,0.0,0.0,0.0,0.0
2021,GL,67,7843.3,6279.0,12027.0,-1564.3000000000002
2021,GL,68,0.0,0.0,0.0,0.0
2021,GL,10,393129.5,0.0,0.0,0.0
2021,GL,14,213659.5000000001,0.0,0.0,0.0
2021,GL,20,222993.1,0.0,0.0,0.0
2021,GL,29,383796.0,0.0,0.0,0.0
2021,GR,30,406575.09,407719.0,423371.0,1143.9099999999744
2021,GR,31,326895.0,325247.0,331988.0,-1648.0
2021,GR,33,77952.0,111560.0,113003.0,33608.0
2021,GR,35,4825.0,269.0,270.0,-4556.0
2021,GR,36,1322768.0,1185251.0,1234988.0,-137517.0
2021,GR,37,378567.0,361162.0,378584.0,-17405.0
2021,GR,39,186916.0,203347.0,197964.0,16431.0
2021,GR,40,819237.0,752390.0,814330.0,-66847.0
2021,GR,41,176568.0,140805.0,166168.0,-35763.0
2021,GR,42,226694.0,176857.0,176743.0,-49837.0
2021,GR,43,7192.0,7202.0,7943.0,10.0
2021,GR,45,48.0,35657.0,35053.0,35609.0
2021,GR,46,929968.0,758512.0,757239.0,-171456.0
2021,GR,47,378567.0,361162.0,378584.0,-17405.0
2021,GR,49,186916.0,203347.0,197964.0,16431.0
2021,GR,34,8771.0,4816.0,4415.0,-3955.0
2021,GR,44,127514.0,107789.0,108812.0,-19725.0
2021,GR,38,67000.0,0.0,0.0,0.0
2021,GR,48,61866.0,21440.0,32785.0,-40426.0
2021,GR,50,132033.0,172692.0,160480.0,40659.0
2021,GR,51,0.0,0.0,0.0,0.0
2021,GR,52,6417.0,12022.0,14677.0,5605.0
2021,GR,54,4427.0,8870.0,9160.0,4443.0
2021,GR,55,0.0,0.0,0.0,0.0
2021,GR,56,159641.0,188861.0,214345.0,29220.0
2021,GR,57,20218.0,22497.0,21765.0,2279.0
2021,GR,58,0.0,0.0,0.0,0.0
2021,GR,60,2125.0,0.0,0.0,0.0
2021,GR,61,3169.0,1660.0,4330.0,-1509.0
2021,GR,62,847.0,0.0,0.0,0.0
2021,GR,63,102304.0,103573.0,108414.0,1269.0
2021,GR,64,4676.0,5579.0,5205.0,903.0
2021,GR,65,0.0,0.0,0.0,0.0
2021,GR,66,0.0,0.0,0.0,0.0
2021,GR,67,20218.0,22497.0,21765.0,2279.0
2021,GR,68,0.0,0.0,0.0,0.0
2021,GR,10,3352168.0,0.0,0.0,0.0
2021,GR,14,1176732.0,0.0,0.0,0.0
2021,GR,20,1687184.0,0.0,0.0,0.0
2021,GR,29,2841716.0,0.0,0.0,0.0
2021,JU,30,282432.52299,264860.4,268481.2,-17572.122990000003
2021,JU,31,80104.06143,80626.1,78612.8,522.0385700000043
2021,JU,33,18187.85391,18306.1,18386.3,118.24608999999693
2021,JU,35,10788.23521,9489.4,10918.9,-1298.835210000001
2021,JU,36,478637.96913,483632.6,483650.0,4994.630869999994
2021,JU,37,113326.10073,113202.0,113169.4,-124.10073000000556
2021,JU,39,2335.1826,1628.1,3049.1,-707.0826000000002
2021,JU,40,349985.48545,330190.0,341487.4,-19795.48544999998
2021,JU,41,37290.55217,26161.3,37344.4,-11129.252170000003
2021,JU,42,43399.76605,43045.1,42790.3,-354.6660499999998
2021,JU,43,91.13973,120.5,120.3,29.36027
2021,JU,45,9438.7707,11233.4,9728.3,1794.6293000000005
2021,JU,46,422023.46205,406157.0,402243.0,-15866.462050000033
2021,JU,47,113326.10073,113202.0,113169.4,-124.10073000000556
2021,JU,49,2335.1826,1628.1,3049.1,-707.0826000000002
2021,JU,34,5262.51325,5306.9,5009.3,44.38674999999967
2021,JU,44,9718.81327,9608.7,9923.5,-110.113269999998
2021,JU,38,89.1273,0.0,0.0,0.0
2021,JU,48,2544.63195,31027.4,907.0,28482.76805
2021,JU,50,21141.9245,26393.0,26630.8,5251.075499999999
2021,JU,51,0.0,0.0,0.0,0.0
2021,JU,52,0.0,0.0,0.0,0.0
2021,JU,54,342.265,460.0,460.0,117.735
2021,JU,55,2000.0,2000.0,0.0,0.0
2021,JU,56,19774.43345,13436.0,15980.1,-6338.43345
2021,JU,57,10811.39892,12068.0,14356.5,1256.6010800000004
2021,JU,58,48.798,60.0,0.0,11.201999999999998
2021,JU,60,0.0,2165.0,0.0,2165.0
2021,JU,61,82.6664,0.0,0.0,0.0
2021,JU,62,0.0,0.0,0.0,0.0
2021,JU,63,4613.903480000001,4477.6,4888.7,-136.3034800000005
2021,JU,64,1693.623,1892.3,1712.5,198.6769999999999
2021,JU,65,0.0,0.0,0.0,0.0
2021,JU,66,19.62,40.0,40.0,20.38
2021,JU,67,10811.39892,12068.0,14356.5,1256.6010800000004
2021,JU,68,918.31475,1018.0,0.0,99.68525
2021,JU,10,317365.873,0.0,0.0,0.0
2021,JU,14,479860.625,0.0,0.0,0.0
2021,JU,20,727276.9280000001,0.0,0.0,0.0
2021,JU,29,69949.571,0.0,0.0,0.0
2021,LU,30,653031.254,643371.77,661231.552,-9659.48399999994
2021,LU,31,257480.577,229910.1095,237918.765,-27570.4675
2021,LU,33,131544.263,133817.17952,130151.606,2272.916519999999
2021,LU,35,14100.226,3907.5,3687.5,-10192.726
2021,LU,36,2428899.589,2205701.52344,2259595.422,-223198.06556
2021,LU,37,255172.487,250151.02,256015.786,-5021.467000000004
2021,LU,39,404795.671,412305.99904,317002.706,7510.328040000051
2021,LU,40,1651046.919,1480806.545,1466498.435,-170240.37400000007
2021,LU,41,158182.29,95676.0,190797.507,-62506.29000000001
2021,LU,42,200198.947,200455.62841,200766.852,256.68141000001924
2021,LU,43,1797.881,1592.0,1360.0,-205.88100000000009
2021,LU,45,5766.879,5873.4,5758.159,106.52099999999972
2021,LU,46,1588440.373,1293483.62286,1353903.354,-294956.7501399999
2021,LU,47,255172.487,250151.02,256015.786,-5021.467000000004
2021,LU,49,404795.671,412305.99972,317002.706,7510.328720000049
2021,LU,34,10332.61,13312.55,12271.35,2979.9399999999987
2021,LU,44,121007.051,102299.003,103224.503,-18708.04800000001
2021,LU,38,93600.0,0.0,0.0,0.0
2021,LU,48,63957.251,0.0,0.0,0.0
2021,LU,50,143369.6085,196627.0,210875.0,53257.3915
2021,LU,51,3220.55705,100.0,100.0,-3120.55705
2021,LU,52,15820.53936,13369.0,11069.0,-2451.5393600000007
2021,LU,54,1950.4095,2000.0,2750.0,49.59050000000002
2021,LU,55,0.0,0.0,25900.0,0.0
2021,LU,56,9381.10345,19093.9,20159.54,9712.79655
2021,LU,57,5098.4298,6075.0,6075.0,976.5702
2021,LU,58,0.0,0.0,0.0,0.0
2021,LU,60,65.10555,200.0,0.0,134.89445
2021,LU,61,3220.55705,100.0,100.0,-3120.55705
2021,LU,62,0.0,0.0,0.0,0.0
2021,LU,63,16029.03269,41494.0,41494.0,25464.96731
2021,LU,64,2781.95184,3529.979,2910.363,748.0271599999996
2021,LU,65,0.0,0.0,0.0,0.0
2021,LU,66,54.1085,10.0,10.0,-44.1085
2021,LU,67,5098.4298,6075.0,6075.0,976.5702
2021,LU,68,0.0,0.0,0.0,0.0
2021,LU,10,2870499.921,2387891.28124,2516428.4595000003,-482608.63976000017
2021,LU,14,4603686.498,4729570.92493,4746044.798,125884.42693000007
2021,LU,20,3061314.16,3200093.90419,3042729.7015,138779.74419
2021,LU,29,4412872.259,3917368.30198,4219743.556,-495503.9570199996
2021,NE,30,463820.79471,461803.251,460640.857,-2017.543709999998
2021,NE,31,204544.30445,174605.03757,176813.267,-29939.26688000001
2021,NE,33,37874.0284,42055.2911,42612.72011,4181.262700000007
